id,name
0799,Area Outside Maori Constituency
0899,Area Outside Maori Constituency
1699,Area Outside Maori Constituency
0401,Mauao Maori Constituency
1299,Area Outside Maori Constituency
0403,Kohi Maori Constituency
1599,Area Outside Maori Constituency
1799,Area Outside Maori Constituency
0999,Area Outside Maori Constituency
0299,Area Outside Maori Constituency
0302,Nga Tai ki Uta Maori Constituency
0199,Area Outside Maori Constituency
0699,Area Outside Maori Constituency
0599,Area Outside Maori Constituency
0301,Nga Hau e Wha Maori Constituency
1899,Area Outside Maori Constituency
1499,Area Outside Maori Constituency
0402,Okurei Maori Constituency
9999,Area Outside Maori Constituency
1399,Area Outside Maori Constituency
