id,name
285,Geraldine
005,Southern Auckland Zone
117,Queenstown
212,Snells Beach
221,Whitianga
007,Cambridge Zone
287,Twizel Community
246,Woodville
022,Christchurch
254,Ohakune
299,Riverton
227,Waihi Beach
301,Gore
114,Oamaru
266,Featherston
234,Katikati Community
201,Taipa Bay-Mangonui
501,Rural Centre
215,Waiuku
304,Te Kauwhata
272,Wakefield
291,Alexandra
020,Wellington Zone
205,Paihia
010,Rotorua
211,Warkworth
228,Paeroa
109,Masterton
209,Dargaville
240,Murupara
002,Northern Auckland Zone
501,Clyde
023,Dunedin
283,Leeston
302,Ngunguru
502,Rural (Incl.some Off Shore Islands)
275,Reefton
214,Waiheke Island
269,Kaikoura
263,Pahiatua
017,Upper Hutt Zone
206,Kawakawa
308,Methven
305,Ngatea
265,Greytown
105,Hawera
116,Rangiora
247,Waitara
267,Martinborough
259,Marton
239,Kawerau
202,Kaitaia
014,New Plymouth
273,Motueka
253,Patea
232,Matamata
289,Milton
018,Lower Hutt Zone
270,Takaka
004,Central Auckland Zone
203,Kerikeri
309,Rakaia
021,Nelson
307,Amberley
213,Helensville
241,Opotiki
102,Tokoroa
233,Putaruru
011,Gisborne
282,Lincoln
278,Woodend
016,Palmerston North
245,Dannevirke
222,Coromandel
006,Hamilton Zone
251,Eltham
298,Te Anau
107,Levin
258,Taihape
296,Winton
106,Feilding
310,Waikouaiti
297,Bluff
281,Darfield
300,Rolleston
026,Blenheim
217,Huntly
237,Turangi
015,Wanganui
111,Greymouth
216,Raglan
012,Napier Zone
274,Westport
250,Opunake
268,Picton
207,Moerewa
255,Raetihi
280,Oxford
113,Timaru
104,Whakatane
294,Arrowtown
230,Te Aroha
257,Bulls
224,Tairua
223,Whangamata
019,Porirua Zone
505,Inland Water not in Urban Area
271,Brightwater
303,Mangawhai Heads
219,Te Kuiti
286,Temuka
208,Kaikohe
306,Mapua
101,Pukekohe
256,Waiouru
507,Inlet-in TA but not in Urban Area
264,Carterton
231,Morrinsville
220,Taumarunui
276,Hokitika
009,Tauranga
249,Stratford
238,Edgecumbe
001,Whangarei
261,Shannon
248,Inglewood
288,Waimate
103,Taupo
262,Otaki
235,Te Puke Community
008,Te Awamutu Zone
292,Cromwell
260,Foxton Community
003,Western Auckland Zone
229,Waihi
112,Ashburton
025,Kapiti
024,Invercargill
244,Waipukurau
218,Otorohanga
013,Hastings Zone
290,Balclutha
243,Waipawa
226,Thames
293,Wanaka
242,Wairoa
284,Pleasant Point
210,Wellsford
