id,name
06903,Maniototo Ward
07301,Mararoa-Waimea Ward
01301,Awaroa ki Tuakau Ward
00301,Dargaville Ward
04302,Paraparaumu Ward
04201,Kere Kere Ward
03101,Ahuriri Ward
06904,Alexandra Ward
04999,Area Outside Ward
01103,Thames Ward
06601,Hakataramea-Waihaorunga Ward
01307,Ngaruawahia Ward
03301,New Plymouth City Ward
03902,Southern Manawatu Rural Ward
05301,Marlborough Sounds Ward
03201,Aramoana-Ruahine Ward
04099,Area Outside Ward
06801,Ahuriri Ward
05502,Inangahua Ward
02701,Coast Ward
01903,Tokoroa Ward
04601,Western Ward
03402,Stratford Urban Ward
04304,Paekakariki-Raumati Ward
01802,Waipa Ward
05904,Kaiapoi Ward
06402,Pleasant Point-Temuka Ward
01202,Paeroa Ward
07404,Mataura Ward
02804,Taruheru-Patutahi Ward
06303,Ashburton Ward
05101,Golden Bay Ward
03202,Ruataniwha Ward
05499,Area Outside Ward
01101,Coromandel-Colville Ward
06001,Shirley-Papanui Ward
06502,Opuha Ward
03802,Hunterville Ward
00303,Otamatea Ward
04702,Onslow-Western Ward
06501,Pukaki Ward
06401,Geraldine Ward
03004,Flaxmere Ward
01302,Onewhero-Te Akau Ward
01502,Te Aroha Ward
06403,Timaru Ward
03601,Ohura Ward
00201,Mangakahia-Maungatapere Ward
07603,North Shore Ward
07401,Waikaka Ward
05703,Southern Ward
03799,Area Outside Ward
02203,Kaimai Ward
07203,Lawrence-Tuapeka Ward
04402,Western Ward
06203,Ellesmere Ward
04603,Northern Ward
07607,Albert-Eden-Roskill Ward
02703,Opotiki Ward
02302,Otumoetai-Pyes Pa Ward
03801,Taihape Ward
02702,Waioeka-Waiotahi Ward
04605,Eastern Ward
07201,West Otago Ward
04599,Area Outside Ward
01701,Pirongia Ward
07612,Manurewa-Papakura Ward
04703,Lambton Ward
02999,Area Outside Ward
04606,Wainuiomata Ward
02301,Mount Maunganui-Papamoa Ward
02202,Maketu-Te Puke Ward
04301,Otaki Ward
03103,Nelson Park Ward
01308,Newcastle Ward
05103,Moutere-Waimea Ward
03302,North Ward
01804,Otorohanga Ward
01102,Mercury Bay Ward
01310,Tamahere Ward
07305,Stewart Island/Rakiura Ward
06602,Pareora-Otaio-Makikihi Ward
03102,Onekawa-Tamatea Ward
06004,Riccarton-Wigram Ward
07601,Rodney Ward
07609,Maungakiekie-Tamaki Ward
07604,Waitakere Ward
01704,Te Awamutu Ward
06006,Spreydon-Heathcote Ward
03504,Hawera-Normanby Ward
05601,Northern Ward
02501,Rangitaiki Ward
06603,Lower Waihao Ward
05503,Westport Ward
01703,Maungatautari Ward
04705,Southern Ward
03503,Tangahoe Ward
04203,Levin Ward
05701,Northern Ward
05804,Glenmark Ward
01305,Eureka Ward
04202,Miranui Ward
07202,Clinton Ward
03502,Eltham Ward
02103,Turangi-Tongariro Ward
04403,Eastern Ward
05802,Amuri-Hurunui Ward
05105,Richmond Ward
