meshblock_id,census_year_id,clerical_and_admin,community_and_personal_service,labourers,machinery_operators_and_drivers,managers,not_elsewhere_included,professionals,sales,technicians_and_trade_workers,total,total_stated
100,2,0,0,0,0,0,0,0,0,0,0,0
200,2,3,6,3,3,9,3,0,0,3,30,27
300,2,0,3,6,3,3,3,3,0,3,21,21
400,2,0,3,12,3,3,0,0,0,0,21,18
501,2,0,0,0,0,0,0,0,0,0,0,0
502,2,0,0,0,0,0,0,0,0,0,9,9
600,2,0,0,6,0,0,0,0,0,0,15,12
700,2,3,3,6,0,3,3,3,0,0,21,18
800,2,3,6,12,6,3,3,6,0,0,45,45
900,2,0,0,0,0,0,0,0,0,0,9,9
1000,2,6,3,9,0,6,0,3,0,3,24,24
1100,2,3,0,6,3,9,6,3,3,3,36,30
1201,2,3,0,9,0,12,0,6,0,6,30,33
1202,2,0,0,0,0,0,0,0,0,0,0,0
1203,2,0,3,6,3,9,3,12,3,0,42,42
1204,2,6,6,15,3,21,9,6,0,6,78,69
1301,2,6,6,3,3,15,6,3,3,6,57,48
1302,2,6,18,18,3,24,3,9,9,15,105,102
1400,2,0,0,9,3,6,6,0,0,3,30,21
1500,2,0,0,0,0,0,0,0,0,0,12,9
1600,2,0,0,0,0,0,0,0,0,0,0,0
1700,2,0,0,0,0,0,0,0,0,0,0,0
1800,2,6,3,9,3,15,3,3,0,3,45,42
1900,2,0,0,3,0,9,3,3,3,3,24,21
2000,2,3,3,6,0,18,0,3,0,0,30,33
2100,2,0,0,0,0,0,0,0,0,0,0,0
2200,2,12,9,12,6,33,9,24,3,18,129,120
2301,2,3,3,6,3,6,0,3,3,3,24,24
2302,2,0,0,0,0,0,0,0,0,0,3,0
2303,2,6,0,6,3,12,3,6,0,3,39,39
2304,2,0,6,3,3,6,3,6,3,6,39,36
2305,2,0,0,0,0,0,0,0,0,0,15,15
2306,2,0,0,0,0,0,0,0,0,0,3,0
2400,2,3,3,6,3,3,3,0,0,3,24,24
2500,2,0,0,0,0,0,0,0,0,0,0,0
2603,2,0,0,0,0,0,0,0,0,0,18,12
2604,2,3,0,0,0,6,3,3,0,3,21,18
