meshblock_id,census_year_id,clerical_and_admin,community_and_personal_service,labourers,machinery_operators_and_drivers,managers,not_elsewhere_included,professionals,sales,technicians_and_trade_workers,total,total_stated
100,2,0,0,0,0,0,0,0,0,0,3,0
200,2,0,0,0,0,6,0,0,0,0,9,9
300,2,0,0,0,0,0,0,0,0,0,15,15
400,2,0,0,0,0,0,0,0,0,0,6,6
501,2,0,0,0,0,0,0,0,0,0,0,0
502,2,0,0,0,0,0,0,0,0,0,6,9
600,2,0,0,0,0,0,0,0,0,0,9,9
700,2,0,0,0,0,0,0,0,0,0,9,9
800,2,0,0,0,0,0,0,0,0,0,12,9
900,2,0,0,0,0,0,0,0,0,0,6,6
1000,2,0,0,0,0,0,0,0,0,0,12,12
1100,2,0,0,0,0,0,0,0,0,0,12,12
1201,2,0,0,0,0,0,0,0,0,0,12,9
1202,2,0,0,0,0,0,0,0,0,0,3,0
1203,2,0,0,0,0,6,0,0,0,0,18,15
1204,2,0,0,0,0,6,0,0,0,0,15,12
1301,2,3,3,3,0,12,3,0,6,0,30,24
1302,2,3,6,12,0,18,3,6,3,6,63,60
1400,2,0,0,3,0,12,3,0,0,0,21,18
1500,2,0,0,0,0,6,0,0,0,0,12,9
1600,2,0,0,0,0,0,0,0,0,0,0,0
1700,2,0,0,0,0,0,0,0,0,0,3,0
1800,2,3,3,3,3,12,0,0,0,3,21,24
1900,2,0,0,0,0,9,0,0,0,0,15,15
2000,2,3,0,3,0,12,0,0,0,0,18,21
2100,2,0,0,0,0,0,0,0,0,0,0,0
2200,2,0,3,9,0,15,0,0,0,3,36,36
2301,2,0,0,0,0,0,0,0,0,0,3,0
2302,2,0,0,0,0,0,0,0,0,0,0,0
2303,2,3,0,3,0,6,3,6,0,3,27,24
2304,2,0,0,0,0,6,0,0,0,0,9,6
2305,2,0,0,0,0,0,0,0,0,0,3,0
2306,2,0,0,0,0,0,0,0,0,0,3,0
2400,2,0,0,0,0,0,0,0,0,0,6,6
2500,2,0,0,0,0,0,0,0,0,0,0,0
2603,2,0,0,0,0,0,0,0,0,0,6,6
2604,2,3,3,12,3,6,3,0,0,15,39,39
2605,2,0,0,0,0,0,0,0,0,0,9,9
2606,2,0,0,0,0,0,0,6,0,0,15,12
2607,2,0,0,0,0,0,0,0,0,0,3,0
2608,2,0,0,0,0,0,0,0,0,0,3,0
2609,2,0,0,0,0,0,0,0,0,0,0,0
2610,2,0,0,3,3,6,0,0,0,3,21,21
2611,2,0,0,0,0,0,0,0,0,0,3,0
2700,2,6,0,3,0,18,3,0,0,6,39,36
2800,2,0,0,0,0,0,0,0,0,0,6,0
2900,2,0,0,6,3,9,3,9,0,0,27,24
3000,2,0,0,6,3,12,0,0,0,0,24,27
3100,2,0,0,0,0,0,0,0,0,0,6,6
3200,2,0,0,0,0,9,0,0,0,0,15,12
3300,2,0,0,3,0,9,6,6,3,6,36,30
3400,2,0,0,0,0,0,0,0,0,0,0,0
3501,2,0,0,0,0,0,0,0,0,0,6,6
3502,2,0,0,0,0,0,0,0,0,0,0,0
3503,2,0,0,0,0,0,0,0,0,0,3,0
3504,2,0,0,0,0,0,0,0,0,0,0,0
3505,2,6,6,3,0,9,3,39,9,9,84,78
3506,2,0,0,0,0,0,0,9,0,0,12,12
3600,2,0,0,0,0,0,0,0,0,0,6,9
3701,2,0,0,0,0,0,0,0,0,0,12,9
3702,2,0,0,0,0,0,0,0,0,0,15,12
3800,2,3,0,6,3,12,0,3,0,3,21,21
