meshblock_id,census_year_id,new_zealand,not_elsewhere_included,overseas,total,total_stated
100,1,9,3,0,9,6
200,1,87,3,0,90,87
300,1,90,3,0,90,90
400,1,24,0,6,33,30
501,1,0,0,0,0,0
502,1,30,0,0,33,30
600,1,42,3,3,48,45
700,1,54,3,3,60,54
800,1,138,15,6,159,144
900,1,24,0,0,27,24
1000,1,78,15,6,102,87
1100,1,78,12,3,96,84
1201,1,39,9,6,54,45
1202,1,0,0,0,0,0
1203,1,87,9,12,108,99
1204,1,153,9,12,171,162
1301,1,126,18,9,153,135
1302,1,192,27,15,234,204
1400,1,39,0,6,45,45
1500,1,15,6,3,21,18
1600,1,0,0,0,0,0
1700,1,6,0,0,6,6
1800,1,60,12,3,75,63
1900,1,51,6,3,60,57
2000,1,51,3,3,60,54
2100,1,0,0,0,0,0
2200,1,150,33,24,207,174
2301,1,0,0,0,3,0
2302,1,12,3,0,12,12
2303,1,78,12,9,99,87
2304,1,42,6,6,54,48
2305,1,12,0,9,21,21
2306,1,18,0,0,21,18
2400,1,123,18,3,147,126
2500,1,0,0,0,3,0
2603,1,36,3,9,45,45
2604,1,66,24,9,96,72
2605,1,54,3,9,66,60
2606,1,90,21,12,123,102
2607,1,57,12,9,75,63
2608,1,24,3,3,27,27
2609,1,54,9,3,69,60
2610,1,81,3,9,93,90
2611,1,57,6,12,75,72
2700,1,126,9,15,150,141
2800,1,39,18,3,63,42
2900,1,102,24,15,144,117
3000,1,33,3,3,39,36
3100,1,81,3,6,90,87
3200,1,126,6,12,144,138
3300,1,111,18,9,135,120
3400,1,30,3,0,33,30
3501,1,21,3,0,27,24
3502,1,21,3,6,27,27
3503,1,6,0,0,9,6
3504,1,15,0,0,15,18
3505,1,6,0,3,6,9
3506,1,33,0,3,33,33
3600,1,54,63,3,123,60
3701,1,36,9,6,54,45
3702,1,54,9,6,69,63
3800,1,144,39,12,192,156
3900,1,168,72,18,261,189
4000,1,111,33,24,165,132
4101,1,120,24,15,165,135
4102,1,105,45,30,180,135
4104,1,39,3,9,48,45
4105,1,39,3,6,45,42
4106,1,33,0,3,42,39
4107,1,21,0,6,30,30
4108,1,54,0,6,63,60
4201,1,45,6,6,57,51
4202,1,6,0,3,12,9
4203,1,6,0,0,9,9
4204,1,30,0,3,36,36
4205,1,21,3,3,27,24
4206,1,9,0,0,9,9
4207,1,6,0,3,9,9
4208,1,30,6,9,48,42
4209,1,0,0,0,3,0
4210,1,0,0,0,0,0
4301,1,81,9,12,99,93
4302,1,114,9,30,153,141
4400,1,102,12,9,123,108
4501,1,0,0,0,0,0
4502,1,0,0,0,3,0
