meshblock_id,census_year_id,fifteen_to_sixtyfour_year_olds,sixtyfive_years_and_older,total_people,under_fifteen_years
100,1,9,0,9,3
200,1,51,6,90,33
300,1,48,9,90,36
400,1,18,3,33,9
501,1,0,0,0,0
502,1,21,3,33,12
600,1,30,3,48,15
700,1,39,6,60,12
800,1,93,12,159,54
900,1,18,6,24,3
1000,1,63,6,99,30
1100,1,57,12,93,24
1201,1,36,12,54,9
1202,1,0,0,0,0
1203,1,60,24,108,21
1204,1,117,24,171,30
1301,1,99,24,153,33
1302,1,138,36,234,60
1400,1,33,3,45,9
1500,1,12,3,21,9
1600,1,0,0,0,0
1700,1,6,3,9,0
1800,1,48,18,78,12
1900,1,30,9,60,15
2000,1,39,6,57,12
2100,1,0,0,0,0
2200,1,129,24,207,51
2301,1,0,0,3,0
2302,1,9,0,12,6
2303,1,66,15,102,18
2304,1,30,6,54,15
2305,1,18,0,21,3
2306,1,12,0,21,3
2400,1,90,21,147,33
2500,1,0,0,3,0
2603,1,30,9,45,3
2604,1,63,15,96,21
2605,1,36,9,66,18
2606,1,66,27,123,30
2607,1,48,12,78,18
2608,1,12,3,27,12
2609,1,45,3,69,18
2610,1,66,18,96,9
2611,1,51,12,75,12
2700,1,87,24,150,42
2800,1,36,6,63,18
2900,1,87,15,141,39
3000,1,24,3,42,12
3100,1,57,3,90,30
3200,1,96,6,144,42
3300,1,81,15,135,39
3400,1,21,3,36,6
3501,1,12,6,27,3
3502,1,12,15,27,3
3503,1,6,0,6,0
3504,1,12,3,18,0
3505,1,3,3,6,0
3506,1,21,3,33,9
3600,1,78,12,123,33
3701,1,36,9,54,15
3702,1,36,3,69,30
3800,1,126,21,192,48
3900,1,156,18,258,84
4000,1,102,15,162,45
4101,1,93,39,162,33
4102,1,114,42,180,24
4104,1,27,12,48,9
4105,1,30,6,42,9
4106,1,21,12,39,6
4107,1,21,3,30,6
4108,1,30,12,63,18
4201,1,30,12,57,15
4202,1,6,6,9,0
4203,1,3,3,9,0
4204,1,21,12,36,3
4205,1,15,6,27,3
4206,1,6,0,9,0
4207,1,3,6,12,0
4208,1,21,27,48,0
4209,1,0,0,3,0
4210,1,0,0,0,0
4301,1,57,27,99,18
4302,1,90,42,150,24
4400,1,69,12,120,42
4501,1,0,0,3,0
4502,1,0,0,3,0
4600,1,9,6,12,0
4700,1,3,3,9,3
4800,1,18,6,48,24
4900,1,123,39,198,36
5000,1,33,3,48,12
5100,1,108,27,174,42
5201,1,33,6,51,12
5202,1,9,6,18,3
5300,1,0,0,0,0
5400,1,0,0,0,0
5500,1,129,33,216,57
5600,1,177,21,279,81
5700,1,90,15,150,42
5800,1,0,0,3,0
5900,1,69,12,114,33
6000,1,36,6,69,27
6100,1,30,3,45,12
6200,1,24,6,42,12
6300,1,90,15,135,30
6400,1,27,3,42,9
6500,1,63,6,99,33
6600,1,96,12,159,48
6700,1,90,15,162,60
6800,1,51,6,72,15
6900,1,75,9,111,30
7000,1,24,6,39,9
7101,1,0,0,3,0
7102,1,9,0,9,0
7201,1,24,9,42,9
7202,1,33,15,57,9
7300,1,78,6,135,51
7400,1,18,9,30,0
7500,1,24,0,36,12
7600,1,75,12,120,33
7700,1,48,12,84,24
7801,1,18,0,24,9
7802,1,0,0,0,0
7900,1,90,18,156,48
8000,1,6,0,9,0
8100,1,0,0,0,0
8200,1,45,9,84,27
8301,1,96,21,144,30
8302,1,3,0,9,3
8401,1,42,9,63,9
8403,1,0,0,6,0
8404,1,42,3,66,21
8501,1,33,3,51,15
8502,1,63,15,99,24
8600,1,69,9,96,18
8700,1,36,6,63,21
8800,1,27,3,57,24
8901,1,0,0,0,0
8902,1,39,9,66,15
9001,1,21,0,36,12
9002,1,0,0,0,0
9101,1,111,18,165,36
9102,1,30,9,54,15
9103,1,12,6,24,3
9200,1,21,6,36,9
9300,1,39,12,69,18
9400,1,93,3,144,48
9500,1,12,3,18,3
9600,1,15,6,27,9
9700,1,48,3,87,36
9800,1,0,0,0,0
9900,1,9,0,12,3
10005,1,27,0,39,12
10006,1,30,6,45,9
10007,1,24,12,51,12
10008,1,30,9,51,12
10009,1,24,3,33,6
10010,1,27,6,39,9
10011,1,36,6,75,30
10012,1,27,0,39,9
10013,1,0,0,0,0
10014,1,0,0,0,0
10101,1,75,12,135,48
10102,1,72,12,129,45
10200,1,6,0,9,3
10300,1,6,3,12,3
10400,1,18,3,30,9
10500,1,30,6,51,15
10600,1,45,15,84,24
10700,1,195,30,303,75
10800,1,6,0,9,3
10900,1,66,6,111,36
11000,1,48,6,78,27
11100,1,24,6,42,9
11200,1,0,0,6,0
11300,1,93,6,153,51
11400,1,27,0,42,12
11500,1,0,0,3,0
11600,1,9,3,21,12
11700,1,24,0,42,15
11800,1,24,3,39,12
11900,1,42,3,72,24
12000,1,21,3,33,12
12101,1,0,0,0,0
12102,1,9,3,15,3
12103,1,39,6,72,27
12200,1,33,6,45,6
12300,1,48,3,69,15
12400,1,66,9,120,42
12500,1,24,6,42,12
12601,1,24,9,36,3
12602,1,12,6,24,3
12701,1,42,3,72,24
12702,1,48,12,105,45
12800,1,0,0,3,0
12902,1,36,6,66,24
12903,1,87,15,132,30
12904,1,120,30,189,42
13000,1,120,18,225,84
13100,1,135,36,240,69
13203,1,150,12,222,63
13204,1,27,12,54,12
13205,1,72,6,120,36
13206,1,84,12,156,60
13207,1,63,3,114,48
13300,1,177,30,282,72
13400,1,84,33,165,48
13500,1,6,3,12,0
13600,1,30,15,57,12
13700,1,54,21,105,30
13800,1,0,0,0,0
13900,1,69,12,114,30
14000,1,0,0,6,0
14100,1,9,12,24,3
14200,1,9,0,12,0
14300,1,60,15,105,30
14400,1,138,36,237,63
14500,1,9,6,21,6
14600,1,0,0,0,0
14700,1,33,12,57,12
14800,1,15,3,18,0
14900,1,84,36,147,27
15000,1,39,15,63,12
15100,1,51,42,108,15
15200,1,48,12,81,21
15300,1,126,39,201,39
15401,1,9,3,15,6
15402,1,117,90,258,48
15500,1,195,15,309,96
15600,1,99,15,180,63
15700,1,45,39,114,24
15800,1,60,12,123,51
15900,1,36,12,69,21
16000,1,30,18,63,15
16100,1,0,0,3,0
16200,1,54,9,84,21
16300,1,75,18,123,27
16400,1,6,6,9,0
16500,1,6,0,9,3
16600,1,54,12,90,21
16700,1,39,12,75,27
16800,1,24,12,48,15
16901,1,0,0,0,0
16902,1,0,0,3,0
17001,1,0,0,0,0
17003,1,0,0,0,0
17005,1,0,0,0,0
17006,1,0,0,3,0
17100,1,0,0,0,0
17200,1,0,0,0,0
17301,1,30,3,48,15
17302,1,27,6,39,3
17402,1,69,15,111,24
17403,1,48,3,66,12
17404,1,3,3,9,0
17405,1,0,0,0,0
17406,1,0,0,3,0
17407,1,0,0,6,0
17408,1,12,3,21,6
17409,1,6,3,9,0
17500,1,75,9,123,36
17600,1,63,12,96,21
17700,1,57,9,93,27
17800,1,63,6,96,27
17900,1,12,3,24,12
18000,1,6,0,6,0
18100,1,69,9,117,39
18201,1,72,15,120,33
18202,1,6,0,6,0
18203,1,9,0,12,3
18300,1,27,6,42,6
18400,1,9,0,15,3
18500,1,15,12,33,6
18600,1,15,0,24,6
18700,1,45,3,69,18
18800,1,57,18,102,27
18900,1,147,27,258,84
19000,1,9,0,12,0
19100,1,30,9,51,12
19200,1,24,3,33,6
19300,1,30,6,42,6
19400,1,96,12,150,42
19500,1,0,0,0,0
19600,1,84,12,135,33
19700,1,63,6,93,21
19801,1,78,18,126,33
19802,1,0,0,6,0
19900,1,111,30,174,30
20000,1,78,12,123,30
20100,1,0,0,0,0
20200,1,123,21,219,72
20300,1,57,12,99,33
20401,1,123,9,192,54
20402,1,99,18,171,54
20500,1,6,0,6,0
20600,1,21,0,24,3
20700,1,42,9,69,18
20800,1,30,3,45,9
20900,1,21,3,36,9
21000,1,30,6,48,9
21100,1,9,3,15,3
21200,1,12,3,18,3
21300,1,18,9,33,6
21400,1,30,3,42,6
21500,1,0,0,6,0
21600,1,0,0,0,0
21700,1,0,0,0,0
21800,1,0,0,0,0
21900,1,27,0,39,9
22000,1,90,12,174,66
22100,1,24,3,36,6
22200,1,12,0,18,3
22300,1,45,6,72,18
22400,1,21,6,36,12
22500,1,117,15,171,42
22600,1,15,3,33,9
22700,1,21,6,42,15
22800,1,63,15,99,27
22900,1,12,9,24,0
23000,1,24,6,51,15
23100,1,99,9,168,57
23200,1,15,3,27,6
23300,1,54,6,84,24
23400,1,57,6,93,30
23500,1,0,0,0,0
23600,1,57,12,81,12
23700,1,54,15,96,27
23800,1,87,9,129,36
23900,1,33,6,42,3
24000,1,51,24,96,21
24100,1,12,3,18,3
24201,1,0,0,3,0
24202,1,0,0,0,0
24300,1,60,9,96,24
