meshblock_id,census_year_id,five,four,none,not_elsewhere_included,object,one,six_or_more,three,total,total_stated,two
100,2,0,0,0,0,0,0,0,0,0,0,0
200,2,3,3,6,3,0,0,6,6,27,27,3
300,2,6,3,6,3,0,3,3,0,27,24,6
400,2,0,0,0,0,0,0,0,0,6,6,0
501,2,0,0,0,0,0,0,0,0,0,0,0
502,2,0,0,0,0,0,0,0,0,6,9,0
600,2,0,0,0,6,0,0,0,0,18,9,0
700,2,0,0,3,0,3,3,3,9,24,24,6
800,2,3,6,9,0,3,3,12,6,54,54,12
900,2,0,0,0,0,0,0,0,0,12,12,0
1000,2,0,3,6,0,0,0,3,0,30,30,6
1100,2,3,3,6,0,3,3,0,3,27,24,3
1201,2,0,0,6,3,3,3,0,6,27,24,9
1202,2,0,0,0,0,0,0,0,0,0,0,0
1203,2,0,9,6,3,3,3,3,15,48,45,12
1204,2,3,12,18,9,6,6,0,9,69,63,9
1301,2,3,3,9,3,3,3,6,9,54,51,15
1302,2,3,12,15,3,6,6,3,18,87,84,18
1400,2,0,3,3,3,0,0,0,6,21,18,6
1500,2,0,0,0,0,0,0,0,0,9,9,0
1600,2,0,0,0,0,0,0,0,0,0,0,0
1700,2,0,0,0,0,0,0,0,0,0,0,0
1800,2,0,3,6,3,0,3,3,3,33,30,9
1900,2,0,0,0,0,0,0,0,6,15,15,0
2000,2,0,6,3,3,3,0,0,3,21,21,6
2100,2,0,0,0,0,0,0,0,0,0,0,0
2200,2,6,12,18,9,3,9,0,15,93,87,18
2301,2,3,0,0,0,3,3,3,0,24,21,6
2302,2,0,0,0,0,0,0,0,0,6,0,0
2303,2,3,0,6,0,0,3,0,3,21,21,3
2304,2,3,3,6,0,0,3,0,6,30,30,9
2305,2,0,0,0,0,0,0,0,0,12,12,0
2306,2,0,0,0,0,0,0,0,0,6,0,0
2400,2,0,3,3,6,0,6,6,3,33,30,3
2500,2,0,0,0,0,0,0,0,0,0,0,0
2603,2,0,0,0,0,0,0,0,0,15,15,0
2604,2,0,0,6,21,3,3,3,3,39,21,6
2605,2,3,0,3,3,0,6,3,6,27,30,6
2606,2,0,6,9,0,3,6,6,6,48,45,6
2607,2,0,3,6,6,0,0,3,3,24,18,3
2608,2,0,0,0,0,0,0,0,0,9,9,0
2609,2,0,3,3,0,3,3,3,3,27,27,6
2610,2,0,9,6,3,0,6,0,9,45,42,12
2611,2,0,6,0,6,3,3,3,6,33,27,6
2700,2,0,6,9,6,0,3,3,6,48,42,9
2800,2,3,0,0,3,0,3,3,9,24,21,6
2900,2,3,6,9,6,3,3,0,9,42,36,9
3000,2,3,0,3,3,0,0,0,6,18,18,3
3100,2,0,3,9,3,3,0,3,6,27,24,3
3200,2,3,3,6,3,3,9,3,12,54,51,15
3300,2,9,6,6,6,6,3,3,18,69,66,18
3400,2,0,0,0,0,0,0,0,0,18,15,0
3501,2,0,0,0,0,0,0,0,0,3,0,0
3502,2,0,0,0,0,0,0,0,0,12,15,0
3503,2,0,0,0,0,0,0,0,0,3,0,0
3504,2,0,0,0,0,0,0,0,0,9,12,0
3505,2,0,0,0,0,0,0,0,0,3,0,0
3506,2,0,0,0,0,0,0,0,0,15,15,0
3600,2,3,3,3,3,0,3,0,3,21,18,3
3701,2,0,0,0,0,0,0,0,0,18,18,0
3702,2,0,3,3,9,0,3,3,0,27,18,3
3800,2,0,6,12,9,6,12,3,9,78,69,21
3900,2,6,9,12,12,6,6,0,9,75,66,15
4000,2,3,6,12,12,3,6,0,15,69,60,15
4101,2,0,6,12,12,3,3,0,15,69,57,18
4102,2,3,6,15,9,6,12,0,12,69,63,12
4104,2,0,6,6,0,3,0,0,3,27,24,6
4105,2,0,0,0,0,0,0,0,0,18,15,6
4106,2,0,0,0,0,0,0,0,0,18,18,0
4107,2,0,0,0,0,0,0,0,0,9,9,0
4108,2,0,0,0,0,0,0,0,0,15,15,6
4201,2,0,0,0,0,0,0,0,6,15,15,0
4202,2,0,0,0,0,0,0,0,0,3,0,0
4203,2,0,0,0,0,0,0,0,0,9,9,0
4204,2,0,0,0,0,0,0,0,0,18,18,9
4205,2,0,0,0,0,0,0,0,0,6,0,0
4206,2,0,0,0,0,0,0,0,0,6,9,0
4207,2,0,0,0,0,0,0,0,0,15,15,6
4208,2,0,6,0,3,0,0,0,9,24,21,3
4209,2,0,0,0,0,0,0,0,0,3,0,0
4210,2,0,0,0,0,0,0,0,0,0,0,0
4301,2,0,3,9,6,3,0,3,9,39,36,6
4302,2,3,9,9,12,0,3,0,12,69,60,24
4400,2,3,6,9,6,0,0,3,6,45,39,12
4501,2,0,0,0,0,0,0,0,0,3,0,0
4502,2,0,0,0,0,0,0,0,0,0,0,0
4600,2,0,0,0,0,0,0,0,0,6,6,0
