meshblock_id,census_year_id,dont_know,maori,no_maori,not_elsewhere_included,total,total_stated
100,1,0,9,3,3,9,6
200,1,0,84,0,3,90,84
300,1,0,75,6,9,93,81
400,1,0,18,12,3,30,30
501,1,0,0,0,0,0,0
502,1,0,27,6,3,33,30
600,1,0,39,3,3,48,45
700,1,0,48,3,3,57,54
800,1,0,138,9,15,159,147
900,1,0,15,9,0,24,27
1000,1,0,57,24,18,102,81
1100,1,3,63,15,18,93,75
1201,1,3,12,30,15,54,39
1202,1,0,0,0,0,0,0
1203,1,3,42,51,15,108,93
1204,1,3,75,72,21,171,150
1301,1,3,60,63,27,153,126
1302,1,3,72,123,36,234,198
1400,1,0,24,24,3,48,45
1500,1,0,12,3,9,24,15
1600,1,0,0,0,0,0,0
1700,1,0,0,0,0,6,6
1800,1,0,18,33,24,75,54
1900,1,6,15,30,6,60,54
2000,1,0,18,27,12,57,45
2100,1,0,0,0,0,0,0
2200,1,3,57,102,45,207,162
2301,1,0,0,0,0,3,0
2302,1,3,3,9,3,15,12
2303,1,0,51,33,15,99,87
2304,1,6,12,33,6,54,48
2305,1,0,9,15,0,21,21
2306,1,0,6,12,3,21,18
2400,1,3,75,42,27,147,120
2500,1,0,0,0,0,3,0
2603,1,0,12,30,3,45,42
2604,1,6,33,27,33,99,66
2605,1,0,24,36,9,66,60
2606,1,6,42,54,24,123,96
2607,1,3,33,24,15,78,63
2608,1,0,12,15,0,27,27
2609,1,3,33,21,12,69,57
2610,1,3,21,60,9,93,84
2611,1,3,27,33,12,75,63
2700,1,0,75,60,15,150,135
2800,1,0,6,30,21,63,39
2900,1,3,39,75,27,144,117
3000,1,0,3,33,6,42,36
3100,1,9,48,21,12,90,81
3200,1,3,39,93,9,144,132
3300,1,6,27,78,24,135,111
3400,1,0,15,12,3,36,30
3501,1,3,12,9,0,24,24
3502,1,0,6,18,3,30,24
3503,1,0,0,0,0,9,6
3504,1,0,3,9,3,15,12
3505,1,0,0,6,0,6,6
3506,1,0,18,12,0,33,33
3600,1,3,33,18,63,123,60
3701,1,3,3,36,15,54,42
3702,1,0,21,33,12,69,57
3800,1,0,39,105,45,192,147
3900,1,6,78,99,78,261,183
4000,1,3,39,72,45,162,120
4101,1,6,36,93,30,162,129
4102,1,3,30,90,54,180,126
4104,1,0,18,24,6,48,42
4105,1,0,18,24,3,45,42
4106,1,0,9,27,3,39,39
4107,1,0,6,18,3,30,27
4108,1,3,24,30,6,60,57
4201,1,0,24,27,6,57,51
4202,1,0,3,6,0,9,9
4203,1,0,0,6,0,9,9
4204,1,0,0,33,0,36,33
4205,1,0,3,18,3,24,21
4206,1,0,3,3,3,9,9
4207,1,0,0,12,0,12,12
4208,1,0,6,30,12,48,39
4209,1,0,0,0,0,6,0
4210,1,0,0,0,0,0,0
4301,1,0,36,48,15,99,87
4302,1,3,18,111,21,150,132
4400,1,0,24,69,27,120,93
4501,1,0,0,0,0,3,0
4502,1,0,0,0,0,3,0
4600,1,0,3,6,6,12,9
4700,1,0,0,0,0,9,9
4800,1,0,21,15,15,48,33
4900,1,3,51,123,21,195,177
5000,1,0,18,15,15,48,33
5100,1,6,72,81,18,174,159
5201,1,0,12,33,9,54,45
5202,1,0,0,12,3,18,15
5300,1,0,0,0,0,0,0
5400,1,0,0,0,0,0,0
5500,1,6,75,105,33,216,186
5600,1,0,90,132,54,279,225
5700,1,3,48,75,30,150,123
5800,1,0,0,0,0,3,0
5900,1,3,51,48,9,114,102
6000,1,0,39,15,18,69,51
6100,1,3,6,30,6,45,36
6200,1,3,9,24,6,42,36
6300,1,3,69,42,21,135,114
6400,1,3,12,15,9,42,30
6500,1,6,33,45,18,102,84
6600,1,6,42,93,15,156,141
6700,1,6,66,81,6,162,156
6800,1,3,24,42,3,72,66
6900,1,12,42,51,9,114,105
7000,1,0,15,18,6,39,33
7101,1,0,0,0,0,3,0
7102,1,0,6,3,0,9,6
7201,1,3,9,21,12,42,30
7202,1,0,9,33,15,57,42
7300,1,3,87,27,18,135,117
7400,1,0,12,9,9,33,24
7500,1,0,9,21,3,36,33
7600,1,3,72,33,9,120,111
7700,1,0,24,39,21,81,63
7801,1,0,9,18,0,24,24
7802,1,0,0,0,0,0,0
7900,1,3,69,42,42,156,117
8000,1,0,0,0,0,6,6
8100,1,0,0,0,0,3,0
8200,1,3,33,36,12,84,72
8301,1,0,54,69,21,144,126
8302,1,0,3,6,0,9,9
8401,1,3,24,30,3,63,57
8403,1,0,0,0,0,6,0
8404,1,0,33,12,15,63,48
8501,1,0,27,18,9,54,42
8502,1,3,51,36,9,96,90
8600,1,3,27,54,9,96,84
8700,1,12,18,24,9,63,57
8800,1,0,21,33,3,57,54
8901,1,0,0,0,0,0,0
8902,1,3,39,15,9,66,57
9001,1,0,21,9,6,36,30
9002,1,0,0,0,0,0,0
9101,1,0,51,87,27,162,138
9102,1,0,24,24,6,54,48
9103,1,0,6,18,0,24,24
9200,1,3,3,27,3,36,33
9300,1,3,15,45,9,69,60
9400,1,0,63,72,9,141,132
9500,1,0,15,0,3,15,15
9600,1,0,15,6,6,27,24
9700,1,3,33,45,6,84,78
9800,1,0,0,0,0,0,0
9900,1,0,6,6,0,12,12
10005,1,0,24,12,3,42,36
10006,1,0,21,15,9,42,36
10007,1,3,27,18,3,51,45
10008,1,0,15,24,12,51,39
10009,1,3,12,15,6,33,27
10010,1,3,15,15,9,39,33
10011,1,3,54,12,6,75,69
10012,1,0,27,9,3,39,39
10013,1,0,0,0,0,0,0
10014,1,0,0,0,0,0,0
10101,1,0,75,48,12,135,123
10102,1,6,90,18,18,129,111
10200,1,0,0,0,0,9,0
10300,1,0,3,3,3,9,9
10400,1,3,18,9,0,30,27
10500,1,0,33,9,12,51,39
10600,1,3,39,30,12,81,72
10700,1,3,132,129,39,300,264
10800,1,0,6,0,3,9,6
10900,1,3,75,15,24,111,87
11000,1,3,54,9,9,78,69
11100,1,0,27,9,6,39,33
11200,1,0,0,0,0,6,0
11300,1,6,90,27,33,153,120
11400,1,0,15,15,9,42,30
