meshblock_id,census_year_id,not_further_defined,other_types,separate_houses,total,two_or_more_flats
0000100,1,0,0,6,6,0
0000200,1,6,0,24,30,0
0000300,1,6,3,9,24,3
0000400,1,3,0,6,12,0
0000501,1,0,0,0,0,0
0000502,1,3,0,12,15,0
0000600,1,3,0,15,18,3
0000700,1,6,0,18,24,0
0000800,1,9,0,36,48,0
0000900,1,3,0,9,12,0
0001000,1,3,0,30,30,3
0001100,1,6,0,24,33,3
0001201,1,6,0,21,27,3
0001202,1,0,0,0,0,0
0001203,1,6,0,42,51,0
0001204,1,12,6,48,69,3
0001301,1,15,9,39,69,6
0001302,1,12,0,69,90,9
0001400,1,0,0,15,15,0
0001500,1,0,0,6,9,0
0001600,1,0,0,0,0,0
0001700,1,0,0,0,3,0
0001800,1,0,0,24,30,3
0001900,1,6,0,18,24,0
0002000,1,6,0,15,21,0
0002100,1,0,0,0,0,0
0002200,1,9,0,66,75,3
0002301,1,0,0,0,0,0
0002302,1,0,0,0,3,0
0002303,1,6,3,33,42,3
0002304,1,3,0,15,21,3
0002305,1,6,0,9,12,0
0002306,1,0,0,6,9,0
0002400,1,15,3,33,54,0
0002500,1,0,0,0,0,0
0002603,1,6,3,15,27,3
0002604,1,18,3,27,45,0
0002605,1,3,0,18,24,6
0002606,1,9,0,36,48,3
0002607,1,9,0,18,30,3
0002608,1,0,0,6,9,0
0002609,1,6,0,15,24,3
0002610,1,9,3,33,45,3
0002611,1,9,0,24,36,3
0002700,1,6,3,45,57,6
0002800,1,3,3,18,18,3
0002900,1,6,0,39,48,3
0003000,1,3,0,12,15,0
0003100,1,3,0,18,24,0
0003200,1,9,3,39,51,3
0003300,1,6,0,36,48,0
0003400,1,0,0,12,12,0
0003501,1,3,0,3,9,0
0003502,1,3,0,9,15,3
0003503,1,0,0,0,3,0
0003504,1,3,0,6,12,3
0003505,1,0,0,0,0,0
0003506,1,0,0,9,12,0
0003600,1,3,0,33,39,0
0003701,1,0,3,15,21,3
0003702,1,0,0,15,18,3
0003800,1,6,3,57,66,3
0003900,1,9,0,69,81,3
0004000,1,9,3,45,60,3
0004101,1,12,0,45,63,6
0004102,1,6,0,63,84,12
0004104,1,0,0,18,24,3
0004105,1,0,0,18,21,3
0004106,1,3,0,15,15,0
0004107,1,3,0,9,15,0
0004108,1,3,0,18,27,6
0004201,1,6,0,15,27,6
0004202,1,0,0,0,3,0
0004203,1,0,0,0,3,0
0004204,1,0,0,15,21,3
0004205,1,0,0,6,9,3
0004206,1,0,0,0,3,0
0004207,1,0,0,0,6,0
0004208,1,3,0,24,30,6
0004209,1,0,0,0,0,0
0004210,1,0,0,0,0,0
0004301,1,9,0,36,48,3
0004302,1,12,3,57,78,9
0004400,1,6,3,33,42,0
0004501,1,0,0,0,3,0
0004502,1,0,0,0,3,0
0004600,1,0,0,0,9,0
0004700,1,0,0,0,3,0
0004800,1,3,0,9,12,0
0004900,1,12,0,66,90,12
0005000,1,0,0,18,18,0
