meshblock_id,census_year_id,employer,not_elsewhere_included,paid_employee,self_employed_without_employee,total,total_stated,unpaid_family_worker
100,1,0,0,6,0,6,6,0
200,1,0,3,18,0,24,24,3
300,1,0,0,9,0,12,9,0
400,1,3,0,9,3,15,15,0
501,1,0,0,0,0,0,0,0
502,1,0,0,6,0,12,15,3
600,1,0,0,12,3,12,12,0
700,1,3,0,12,6,24,21,6
800,1,0,0,39,6,54,54,9
900,1,0,0,9,0,12,12,3
1000,1,3,0,18,6,36,36,9
1100,1,3,0,18,9,33,33,3
1201,1,3,0,15,9,24,27,3
1202,1,0,0,0,0,0,0,0
1203,1,12,3,15,6,33,30,0
1204,1,15,3,51,12,87,81,3
1301,1,9,6,27,12,60,54,3
1302,1,15,6,54,6,87,81,6
1400,1,0,0,9,9,21,21,0
1500,1,0,0,0,0,6,9,0
1600,1,0,0,0,0,0,0,0
1700,1,0,0,0,0,6,6,0
1800,1,3,0,18,9,33,30,0
1900,1,3,0,6,12,24,24,0
2000,1,0,0,6,9,18,18,3
2100,1,0,0,0,0,0,0,0
2200,1,12,3,48,15,78,75,3
2301,1,0,0,0,0,3,0,0
2302,1,0,0,0,0,6,0,0
2303,1,6,0,30,3,45,45,3
2304,1,3,0,15,3,24,24,0
2305,1,0,0,0,0,6,9,0
2306,1,0,0,6,0,9,9,0
2400,1,6,0,18,3,30,27,0
2500,1,0,0,0,0,0,0,0
2603,1,6,0,3,3,12,9,0
2604,1,3,6,12,3,27,21,0
2605,1,0,3,12,0,18,15,0
2606,1,3,3,21,3,33,30,3
2607,1,6,3,12,0,24,21,0
2608,1,0,0,6,0,9,12,0
2609,1,3,0,9,0,15,12,3
2610,1,6,0,24,6,39,33,0
2611,1,0,0,15,3,21,18,0
2700,1,9,0,24,15,57,54,9
2800,1,3,0,9,3,15,15,3
2900,1,6,0,24,15,48,48,6
3000,1,3,0,6,6,18,18,0
3100,1,0,0,15,9,24,24,0
3200,1,3,3,30,18,60,57,6
3300,1,9,0,15,12,42,39,3
3400,1,0,0,12,3,15,15,0
3501,1,0,0,0,0,6,6,0
3502,1,0,0,0,0,3,0,0
3503,1,0,0,0,0,3,0,0
3504,1,0,0,0,0,9,9,0
3505,1,0,0,0,0,3,0,0
3506,1,0,0,9,0,12,12,0
3600,1,0,0,6,3,15,15,3
3701,1,0,0,6,3,18,15,3
3702,1,0,0,9,3,15,12,0
3800,1,3,3,39,18,69,66,9
3900,1,3,3,27,12,54,48,6
4000,1,0,3,15,18,45,39,9
4101,1,9,3,21,12,48,45,3
4102,1,6,3,21,9,45,42,3
4104,1,0,3,6,3,15,12,0
4105,1,0,0,3,9,12,12,0
4106,1,0,0,9,6,18,15,0
4107,1,0,0,3,3,12,9,0
4108,1,0,0,9,3,18,18,3
4201,1,0,0,0,0,6,0,0
