meshblock_id,census_year_id,families
100,1,3
200,1,24
300,1,21
400,1,6
501,1,0
502,1,6
600,1,12
700,1,12
800,1,36
900,1,6
1000,1,18
1100,1,24
1201,1,12
1202,1,0
1203,1,33
1204,1,48
1301,1,45
1302,1,63
1400,1,12
1500,1,6
1600,1,0
1700,1,3
1800,1,18
1900,1,18
2000,1,18
2100,1,0
2200,1,48
2301,1,0
2302,1,3
2303,1,27
2304,1,15
2305,1,6
2306,1,3
2400,1,39
2500,1,0
2603,1,15
2604,1,21
2605,1,18
2606,1,33
2607,1,18
2608,1,6
2609,1,21
2610,1,33
2611,1,21
2700,1,42
2800,1,12
2900,1,33
3000,1,12
3100,1,21
3200,1,42
3300,1,36
3400,1,12
3501,1,6
3502,1,9
3503,1,0
3504,1,6
3505,1,0
3506,1,9
3600,1,21
3701,1,12
3702,1,12
3800,1,45
3900,1,51
4000,1,39
4101,1,48
4102,1,36
4104,1,12
4105,1,9
4106,1,12
4107,1,9
4108,1,15
4201,1,15
4202,1,3
4203,1,3
4204,1,9
4205,1,6
4206,1,3
4207,1,3
4208,1,12
4209,1,3
4210,1,0
4301,1,33
4302,1,42
4400,1,30
4501,1,0
4502,1,0
4600,1,0
4700,1,3
4800,1,6
4900,1,57
5000,1,15
5100,1,45
5201,1,12
5202,1,6
5300,1,0
5400,1,0
5500,1,57
5600,1,66
5700,1,36
5800,1,3
5900,1,27
6000,1,15
6100,1,12
6200,1,9
6300,1,36
6400,1,9
6500,1,30
6600,1,45
6700,1,39
6800,1,21
6900,1,30
7000,1,9
7101,1,0
7102,1,3
7201,1,9
7202,1,9
7300,1,36
7400,1,6
7500,1,9
7600,1,27
7700,1,18
7801,1,6
7802,1,0
7900,1,39
8000,1,0
8100,1,0
8200,1,24
8301,1,42
8302,1,0
8401,1,18
8403,1,0
8404,1,9
8501,1,12
8502,1,27
8600,1,27
8700,1,12
8800,1,12
8901,1,0
8902,1,15
9001,1,12
9002,1,0
9101,1,39
9102,1,15
9103,1,9
9200,1,12
9300,1,18
9400,1,42
9500,1,3
9600,1,9
9700,1,21
9800,1,0
9900,1,6
10005,1,9
10006,1,12
10007,1,9
10008,1,15
10009,1,12
10010,1,6
10011,1,15
10012,1,15
10013,1,0
10014,1,0
10101,1,33
10102,1,30
10200,1,3
10300,1,3
10400,1,9
10500,1,9
10600,1,30
10700,1,78
10800,1,0
10900,1,24
11000,1,18
11100,1,9
11200,1,0
11300,1,24
11400,1,9
11500,1,0
11600,1,3
11700,1,9
11800,1,9
11900,1,15
12000,1,6
12101,1,0
12102,1,3
12103,1,15
12200,1,9
12300,1,12
12400,1,27
12500,1,9
12601,1,9
12602,1,6
12701,1,15
12702,1,18
12800,1,0
12902,1,15
12903,1,30
12904,1,36
13000,1,48
13100,1,57
13203,1,48
13204,1,15
13205,1,24
13206,1,27
13207,1,21
13300,1,69
13400,1,39
13500,1,3
13600,1,12
13700,1,21
13800,1,0
13900,1,24
14000,1,0
14100,1,6
14200,1,0
14300,1,24
14400,1,63
14500,1,6
14600,1,0
14700,1,12
14800,1,0
14900,1,39
15000,1,21
15100,1,24
15200,1,18
15300,1,48
15401,1,6
15402,1,48
15500,1,75
15600,1,36
15700,1,21
15800,1,30
15900,1,15
16000,1,15
16100,1,0
16200,1,21
16300,1,24
16400,1,0
16500,1,0
16600,1,15
16700,1,12
16800,1,9
16901,1,0
16902,1,0
17001,1,0
17003,1,0
17005,1,0
17006,1,0
17100,1,0
17200,1,0
17301,1,12
17302,1,9
17402,1,24
17403,1,12
17404,1,3
17405,1,0
17406,1,0
17407,1,0
17408,1,6
17409,1,3
17500,1,30
17600,1,24
17700,1,24
17800,1,21
17900,1,3
18000,1,3
18100,1,24
18201,1,27
18202,1,0
18203,1,3
18300,1,15
18400,1,6
18500,1,12
18600,1,6
18700,1,12
18800,1,18
18900,1,63
19000,1,3
19100,1,15
19200,1,12
19300,1,15
19400,1,36
19500,1,0
19600,1,24
19700,1,24
19801,1,27
19802,1,0
19900,1,51
20000,1,30
20100,1,0
20200,1,57
20300,1,21
20401,1,42
20402,1,36
20500,1,0
20600,1,6
20700,1,15
20800,1,9
20900,1,12
21000,1,6
21100,1,3
21200,1,3
21300,1,6
21400,1,9
21500,1,0
21600,1,0
21700,1,0
21800,1,0
21900,1,9
22000,1,39
22100,1,9
22200,1,6
22300,1,15
22400,1,9
22500,1,42
22600,1,6
22700,1,9
22800,1,18
22900,1,6
23000,1,12
23100,1,33
23200,1,3
23300,1,24
23400,1,18
23500,1,0
23600,1,18
23700,1,24
23800,1,30
23900,1,9
24000,1,21
24100,1,3
24201,1,0
24202,1,0
24300,1,15
24400,1,30
24500,1,9
24600,1,12
