meshblock_id,census_year_id,couple_with_children,couple_without_children,one_parent,total
100,1,0,0,0,3
200,1,12,3,12,21
300,1,12,6,9,21
400,1,6,3,0,9
501,1,0,0,0,0
502,1,3,3,3,9
600,1,3,3,3,12
700,1,6,3,6,12
800,1,21,9,9,36
900,1,3,0,3,9
1000,1,15,0,0,18
1100,1,9,9,6,24
1201,1,6,9,0,15
1202,1,0,0,0,0
1203,1,9,21,3,33
1204,1,15,27,9,48
1301,1,9,24,12,45
1302,1,30,27,9,63
1400,1,3,6,3,12
1500,1,0,0,0,3
1600,1,0,0,0,0
1700,1,0,0,0,3
1800,1,9,9,3,18
1900,1,6,12,3,21
2000,1,9,6,0,15
2100,1,0,0,0,0
2200,1,21,24,6,48
2301,1,0,0,0,0
2302,1,0,0,0,3
2303,1,9,12,6,27
2304,1,6,3,3,15
2305,1,0,0,0,6
2306,1,0,0,0,3
2400,1,12,15,12,39
2500,1,0,0,0,0
2603,1,3,12,0,15
2604,1,12,9,3,21
2605,1,6,9,3,21
2606,1,6,21,6,33
2607,1,6,9,3,18
2608,1,6,0,0,6
2609,1,6,9,3,18
2610,1,9,21,3,30
2611,1,6,9,9,21
2700,1,15,21,6,42
2800,1,6,3,3,12
2900,1,18,9,6,33
3000,1,6,3,3,9
3100,1,9,3,6,21
3200,1,21,15,9,45
3300,1,18,15,3,36
3400,1,6,6,3,9
3501,1,0,0,0,6
3502,1,0,6,0,6
3503,1,0,0,0,0
3504,1,0,0,0,6
3505,1,0,0,0,0
3506,1,3,3,3,9
3600,1,6,6,9,21
3701,1,6,3,0,12
3702,1,9,3,3,12
3800,1,24,12,6,42
3900,1,21,12,15,51
4000,1,18,12,9,39
4101,1,9,30,9,48
4102,1,12,21,3,36
4104,1,3,9,0,15
4105,1,0,6,3,12
4106,1,3,9,0,12
4107,1,0,3,3,12
4108,1,3,6,6,18
4201,1,6,6,3,18
4202,1,0,0,0,6
4203,1,0,0,0,3
4204,1,3,6,0,12
4205,1,0,3,3,6
4206,1,0,0,0,3
4207,1,0,0,0,3
4208,1,3,12,0,12
4209,1,0,0,0,0
4210,1,0,0,0,0
4301,1,3,21,9,33
4302,1,9,30,3,45
4400,1,15,12,3,30
4501,1,0,0,0,0
4502,1,0,0,0,0
4600,1,0,0,0,3
4700,1,0,0,0,3
4800,1,3,0,3,9
4900,1,15,33,12,57
5000,1,6,6,0,15
5100,1,21,18,9,42
5201,1,6,3,3,15
5202,1,0,0,0,6
5300,1,0,0,0,0
5400,1,0,0,0,0
5500,1,12,30,15,57
5600,1,27,18,18,66
5700,1,12,9,12,36
5800,1,0,0,0,3
5900,1,12,12,6,30
6000,1,9,0,6,15
6100,1,6,6,3,12
6200,1,6,3,0,12
6300,1,12,15,12,36
6400,1,3,3,0,9
6500,1,15,9,6,27
6600,1,18,21,6,45
6700,1,18,12,9,39
6800,1,6,12,3,21
6900,1,15,9,6,30
7000,1,3,3,3,9
7101,1,0,0,0,0
7102,1,0,0,0,3
7201,1,6,0,3,9
7202,1,6,0,3,9
7300,1,18,6,12,36
7400,1,3,3,3,9
7500,1,6,3,3,9
7600,1,15,9,6,27
7700,1,6,9,0,18
7801,1,0,0,0,6
7802,1,0,0,0,0
7900,1,12,12,12,36
8000,1,0,0,0,3
8100,1,0,0,0,0
8200,1,12,9,6,24
8301,1,18,21,3,42
8302,1,0,0,0,3
8401,1,6,9,3,18
8403,1,0,0,0,0
8404,1,6,0,3,12
8501,1,9,3,0,12
8502,1,9,9,9,30
8600,1,12,18,0,27
8700,1,9,3,3,15
8800,1,3,6,3,12
8901,1,0,0,0,0
8902,1,9,6,3,15
9001,1,3,3,3,12
9002,1,0,0,0,0
9101,1,18,18,3,39
9102,1,6,6,6,15
9103,1,3,6,0,9
9200,1,3,6,0,12
9300,1,6,9,3,21
9400,1,18,15,3,42
9500,1,0,0,0,3
9600,1,3,3,3,9
9700,1,9,6,6,21
9800,1,0,0,0,0
9900,1,0,0,0,3
10005,1,3,3,3,9
10006,1,3,6,3,12
10007,1,3,6,3,12
10008,1,6,6,3,15
10009,1,3,6,3,12
10010,1,3,3,0,9
10011,1,6,3,9,15
10012,1,0,9,6,15
10013,1,0,0,0,0
10014,1,0,0,0,0
10101,1,18,9,9,33
10102,1,12,6,9,30
10200,1,0,0,0,0
10300,1,0,0,0,3
10400,1,3,6,3,12
10500,1,3,3,3,12
10600,1,6,9,15,30
10700,1,36,27,15,78
10800,1,0,0,0,3
10900,1,15,3,9,24
11000,1,9,3,3,15
11100,1,3,3,3,9
11200,1,0,0,0,0
11300,1,15,3,6,27
11400,1,3,3,0,9
11500,1,0,0,0,0
11600,1,0,0,0,6
11700,1,3,3,3,9
11800,1,3,3,3,9
11900,1,9,3,3,12
12000,1,0,0,0,6
12101,1,0,0,0,0
12102,1,0,0,0,3
12103,1,6,3,6,12
12200,1,3,3,3,9
12300,1,6,3,0,15
12400,1,12,3,15,30
12500,1,3,3,3,9
12601,1,0,3,3,9
12602,1,0,0,0,6
12701,1,6,3,6,15
12702,1,6,0,12,18
12800,1,0,0,0,0
