meshblock_id,census_year_id,not_elsewhere_included,no_abode,not_born,not_elsewhere_included,overseas,same,total,total_stated
100,3,0,0,0,0,0,0,3,0
200,3,15,0,3,15,0,48,84,69
300,3,15,0,6,6,0,33,57,54
400,3,3,0,3,6,3,9,27,21
501,3,0,0,0,0,0,0,0,0
502,3,12,0,3,3,0,15,36,30
600,3,6,0,0,3,0,24,39,33
700,3,15,0,6,15,3,21,63,48
800,3,24,0,9,18,3,48,105,87
900,3,9,0,0,3,0,9,24,18
1000,3,24,0,6,18,3,24,81,63
1100,3,30,0,9,15,0,42,96,84
1201,3,15,0,3,12,3,60,93,81
1202,3,0,0,0,0,0,0,0,0
1203,3,15,0,3,21,6,57,102,81
1204,3,42,0,6,15,12,84,162,147
1301,3,42,0,3,18,3,69,138,117
1302,3,63,0,9,69,9,111,261,189
1400,3,21,0,0,27,6,9,63,39
1500,3,9,0,0,3,0,9,21,18
1600,3,0,0,0,0,0,0,0,0
1700,3,0,0,0,0,0,0,0,0
1800,3,24,0,9,12,0,39,84,72
1900,3,24,0,9,9,3,15,57,48
2000,3,9,0,0,9,0,33,51,45
2100,3,0,0,0,0,0,0,0,0
2200,3,45,0,9,51,6,114,228,174
2301,3,21,0,6,9,0,27,63,57
2302,3,0,0,0,0,0,0,6,0
2303,3,21,0,6,9,3,42,78,69
2304,3,18,0,6,6,0,45,78,72
2305,3,3,0,0,6,3,12,27,21
2306,3,3,0,0,3,0,6,12,9
2400,3,15,0,12,15,0,39,84,66
2500,3,0,0,0,0,0,0,0,0
2603,3,12,0,0,0,3,15,36,33
2604,3,42,0,6,9,3,57,123,111
2605,3,21,0,3,6,0,36,72,63
2606,3,57,0,12,12,0,60,141,129
2607,3,18,0,6,6,3,30,63,57
2608,3,9,0,3,3,3,24,42,39
2609,3,33,0,9,12,3,33,93,81
2610,3,66,0,6,15,3,81,171,156
2611,3,27,0,9,6,3,33,78,72
2700,3,33,0,6,12,6,105,165,153
2800,3,6,0,0,9,3,27,45,39
2900,3,33,0,6,15,6,66,123,108
3000,3,18,0,9,9,6,27,66,57
3100,3,12,0,6,6,0,33,57,51
3200,3,45,0,9,18,12,72,156,141
3300,3,45,0,9,33,6,90,186,150
3400,3,18,0,3,0,3,30,54,51
3501,3,6,0,0,3,3,6,15,12
3502,3,18,0,3,0,3,12,39,36
3503,3,6,0,3,3,3,3,15,12
3504,3,9,0,0,3,0,12,27,24
3505,3,0,0,0,0,0,0,6,0
3506,3,9,0,3,3,3,18,30,30
3600,3,18,0,3,18,0,24,60,45
3701,3,18,0,0,3,0,18,39,39
3702,3,12,0,0,6,0,36,57,51
3800,3,66,0,15,30,6,111,225,198
3900,3,45,0,12,21,9,69,159,135
4000,3,42,0,12,24,9,90,174,153
4101,3,84,0,9,6,9,57,162,159
4102,3,51,0,15,9,12,72,153,147
4104,3,12,0,3,6,6,27,51,48
4105,3,24,0,3,0,0,18,45,45
4106,3,15,0,3,6,9,12,45,39
4107,3,15,0,0,6,0,9,33,24
4108,3,21,0,6,9,6,18,60,51
4201,3,9,0,3,3,0,9,24,18
4202,3,3,0,0,0,3,9,15,15
4203,3,12,0,0,0,0,15,27,30
4204,3,27,0,3,6,3,12,48,42
