meshblock_id,census_year_id,one_family,one_person,other_multi,three_family,total,total_stated,two_family,unidentifiable
100,1,0,0,0,0,6,0,0,0
200,1,15,9,0,0,27,30,3,0
300,1,18,3,0,0,24,21,3,0
400,1,6,0,0,0,12,9,0,0
501,1,0,0,0,0,0,0,0,0
502,1,6,6,0,0,15,12,0,0
600,1,12,9,3,0,21,18,0,0
700,1,12,6,3,0,24,24,0,0
800,1,33,6,0,0,48,45,0,6
900,1,6,0,0,0,12,12,0,0
1000,1,18,12,0,0,30,27,0,3
1100,1,21,9,0,0,33,30,3,6
1201,1,12,9,3,0,24,21,0,3
1202,1,0,0,0,0,0,0,0,0
1203,1,33,12,0,0,48,45,0,3
1204,1,42,15,3,0,66,66,3,0
1301,1,39,15,0,0,63,60,3,6
1302,1,60,21,0,0,87,84,3,3
1400,1,9,6,0,0,15,15,0,0
1500,1,0,0,0,0,9,6,0,0
1600,1,0,0,0,0,0,0,0,0
1700,1,0,0,0,0,3,0,0,0
1800,1,18,6,0,0,30,24,0,3
1900,1,18,3,0,0,24,24,0,0
2000,1,18,3,0,0,21,18,0,0
2100,1,0,0,0,0,0,0,0,0
2200,1,48,21,0,0,75,69,3,6
2301,1,0,0,0,0,0,0,0,0
2302,1,0,0,0,0,3,0,0,0
2303,1,27,9,0,0,45,39,0,3
2304,1,15,3,0,0,21,18,0,0
2305,1,0,0,0,0,12,9,0,0
2306,1,0,0,0,0,6,6,0,0
2400,1,33,12,0,0,54,48,3,3
2500,1,0,0,0,0,3,0,0,0
2603,1,15,9,0,0,21,21,0,0
2604,1,21,9,0,0,36,33,0,3
2605,1,15,6,0,0,24,21,0,0
2606,1,27,12,0,0,45,42,3,6
2607,1,18,9,0,0,30,30,0,3
2608,1,6,0,0,0,9,9,0,0
2609,1,21,3,0,0,27,24,0,3
2610,1,33,12,0,0,45,42,0,0
2611,1,21,9,0,0,30,30,0,3
2700,1,39,18,0,0,57,57,3,0
2800,1,12,0,0,0,18,15,0,3
2900,1,33,12,0,0,51,45,0,3
3000,1,12,3,0,0,15,12,0,0
3100,1,15,6,0,0,24,27,0,0
3200,1,42,6,0,0,51,51,3,0
3300,1,36,6,0,0,48,42,0,6
3400,1,9,3,0,0,12,12,0,0
3501,1,6,0,0,0,9,6,0,0
3502,1,9,9,0,0,15,15,0,0
3503,1,0,0,0,0,3,0,0,0
3504,1,6,0,0,0,6,9,0,0
3505,1,0,0,0,0,0,0,0,0
3506,1,9,3,0,0,15,12,0,0
3600,1,21,3,0,0,39,24,0,12
3701,1,12,6,0,0,21,18,0,3
3702,1,12,6,0,0,18,18,0,3
3800,1,45,18,0,0,66,63,0,6
3900,1,48,6,3,0,81,60,3,21
4000,1,39,12,3,0,60,51,0,9
4101,1,48,12,0,0,63,60,0,6
4102,1,36,30,6,0,81,69,0,12
4104,1,12,9,0,0,24,21,0,0
4105,1,9,6,0,0,18,15,0,3
4106,1,12,3,0,0,15,18,0,0
4107,1,9,3,0,0,15,12,0,0
4108,1,15,9,3,0,27,27,0,0
4201,1,15,6,0,0,27,24,0,0
4202,1,0,0,0,0,6,0,0,0
4203,1,0,0,0,0,3,0,0,0
4204,1,9,9,0,0,21,18,0,0
4205,1,6,0,0,0,9,9,0,0
4206,1,0,0,0,0,3,0,0,0
4207,1,0,0,0,0,6,0,0,0
4208,1,12,15,3,0,27,27,0,3
4209,1,0,0,0,0,3,0,0,0
4210,1,0,0,0,0,0,0,0,0
4301,1,33,12,0,0,45,45,0,0
4302,1,42,27,3,0,72,72,0,3
4400,1,27,12,0,0,42,39,0,3
4501,1,0,0,0,0,3,0,0,0
4502,1,0,0,0,0,3,0,0,0
4600,1,0,0,0,0,6,0,0,0
4700,1,0,0,0,0,3,0,0,0
4800,1,0,0,0,0,9,9,0,0
4900,1,54,21,3,0,81,81,3,3
5000,1,12,0,0,0,18,15,0,3
5100,1,42,21,3,0,69,69,0,0
5201,1,12,9,0,0,24,21,0,0
5202,1,0,0,0,0,6,6,0,0
5300,1,0,0,0,0,0,0,0,0
5400,1,0,0,0,0,0,0,0,0
5500,1,51,15,6,0,81,75,3,6
5600,1,63,9,3,0,87,75,0,9
5700,1,30,27,3,0,63,60,3,3
5800,1,0,0,0,0,0,0,0,0
5900,1,27,9,0,0,39,36,3,3
6000,1,15,0,0,0,18,15,0,3
6100,1,12,0,0,0,15,12,0,0
6200,1,9,6,0,0,18,15,0,0
6300,1,30,9,3,3,48,45,0,3
6400,1,9,0,0,0,12,9,0,0
6500,1,30,6,0,0,33,36,0,0
6600,1,39,6,0,0,51,51,3,3
6700,1,39,9,0,0,51,54,0,0
6800,1,18,9,3,0,27,27,3,0
6900,1,30,9,3,0,42,39,0,3
7000,1,9,3,3,0,15,12,0,0
7101,1,0,0,0,0,0,0,0,0
7102,1,0,0,0,0,3,0,0,0
7201,1,9,3,0,0,15,15,0,0
7202,1,9,18,0,0,30,27,0,3
7300,1,30,6,0,0,42,39,3,3
7400,1,6,9,3,0,18,18,0,0
7500,1,9,0,0,0,12,12,0,0
7600,1,27,9,0,0,39,39,0,3
7700,1,18,6,0,0,30,24,0,3
7801,1,0,0,0,0,6,6,0,0
7802,1,0,0,0,0,0,0,0,0
7900,1,33,6,0,0,51,42,3,9
8000,1,0,0,0,0,6,0,0,0
8100,1,0,0,0,0,0,0,0,0
8200,1,24,6,0,0,30,30,0,0
8301,1,39,12,3,0,57,51,0,3
8302,1,0,0,0,0,3,0,0,0
8401,1,18,6,3,0,24,24,0,0
8403,1,0,0,0,0,0,0,0,0
8404,1,9,3,0,0,18,15,0,6
8501,1,12,3,0,0,18,15,0,0
8502,1,27,9,0,0,39,39,0,3
8600,1,27,3,3,0,33,33,3,3
8700,1,12,3,0,0,18,18,0,0
8800,1,12,0,3,0,15,12,0,0
8901,1,0,0,0,0,0,0,0,0
8902,1,15,6,0,0,21,21,0,0
9001,1,9,0,0,0,12,12,0,0
9002,1,0,0,0,0,0,0,0,0
9101,1,39,3,0,0,51,45,0,6
9102,1,15,3,0,0,21,18,0,0
9103,1,9,0,0,0,9,9,0,0
9200,1,12,6,0,0,15,18,0,0
9300,1,18,9,0,0,27,27,0,0
9400,1,39,6,0,0,45,45,0,0
9500,1,0,0,0,0,6,0,0,0
9600,1,9,0,0,0,12,9,0,0
9700,1,18,3,3,0,21,21,3,0
9800,1,0,0,0,0,0,0,0,0
9900,1,0,0,0,0,3,0,0,0
10005,1,9,3,0,0,15,15,0,0
10006,1,12,3,0,0,15,15,0,3
