meshblock_id,census_year_id,family_trust,not_elsewhere_included,not_owned,owned,total,total_stated
100,1,0,0,0,0,3,0
200,1,0,0,12,18,27,27
300,1,0,3,6,15,21,21
400,1,0,0,12,0,12,9
501,1,0,0,0,0,0,0
502,1,0,0,9,3,15,12
600,1,0,3,9,9,18,18
700,1,0,3,6,18,24,24
800,1,0,6,21,21,48,42
900,1,0,3,0,9,12,12
1000,1,0,9,3,15,30,21
1100,1,0,6,9,18,33,27
1201,1,0,6,6,15,27,21
1202,1,0,0,0,0,0,0
1203,1,0,6,12,30,48,42
1204,1,0,3,21,42,66,66
1301,1,0,15,12,36,63,48
1302,1,0,6,15,63,90,78
1400,1,0,0,3,12,15,15
1500,1,0,3,0,6,9,6
1600,1,0,0,0,0,0,0
1700,1,0,0,0,0,3,0
1800,1,0,6,6,18,30,24
1900,1,0,0,6,15,24,21
2000,1,0,3,6,15,21,21
2100,1,0,0,0,0,0,0
2200,1,0,15,15,51,75,63
2301,1,0,0,0,0,0,0
2302,1,0,0,0,0,3,0
2303,1,0,6,9,27,42,36
2304,1,0,6,3,15,21,18
2305,1,0,0,0,9,12,9
2306,1,0,0,0,0,6,6
2400,1,0,6,9,36,54,48
2500,1,0,0,0,0,0,0
2603,1,0,0,6,15,21,24
2604,1,0,12,3,21,36,27
2605,1,0,0,3,18,24,24
2606,1,0,9,12,24,45,36
2607,1,0,6,3,24,30,27
2608,1,0,0,6,3,9,6
2609,1,0,3,6,18,24,21
2610,1,0,3,12,27,45,42
2611,1,0,0,9,21,33,30
2700,1,0,3,6,45,54,51
2800,1,0,3,3,12,18,15
2900,1,0,6,15,27,48,45
3000,1,0,3,3,9,15,12
3100,1,0,0,6,18,24,24
3200,1,0,3,6,42,51,51
3300,1,0,6,3,36,48,42
3400,1,0,0,0,12,12,12
3501,1,0,3,3,3,9,6
3502,1,0,0,6,9,15,15
3503,1,0,0,0,0,3,0
3504,1,0,0,0,9,6,6
3505,1,0,0,0,0,0,0
3506,1,0,0,6,6,12,12
3600,1,0,18,6,15,39,21
3701,1,0,3,3,15,21,18
3702,1,0,3,6,9,18,15
3800,1,0,12,12,42,66,54
3900,1,0,18,15,45,81,60
4000,1,0,9,9,39,60,48
4101,1,0,12,15,36,63,51
4102,1,0,18,21,42,81,63
4104,1,0,0,9,12,21,21
4105,1,0,3,6,9,18,18
4106,1,0,0,3,12,15,18
4107,1,0,3,3,9,15,15
4108,1,0,0,12,15,27,24
4201,1,0,0,12,9,27,24
4202,1,0,0,0,0,3,0
4203,1,0,0,0,0,3,0
4204,1,0,0,6,12,21,18
4205,1,0,0,6,3,9,9
4206,1,0,0,0,0,3,0
4207,1,0,0,0,0,6,0
4208,1,0,3,6,18,30,24
4209,1,0,0,0,0,0,0
4210,1,0,0,0,0,0,0
4301,1,0,6,12,27,45,42
4302,1,0,6,18,51,72,69
4400,1,0,9,6,30,42,33
4501,1,0,0,0,0,3,0
4502,1,0,0,0,0,3,0
4600,1,0,0,0,0,6,0
4700,1,0,0,0,0,3,0
4800,1,0,3,3,6,12,6
4900,1,0,6,21,57,84,78
5000,1,0,3,6,9,18,15
5100,1,0,6,27,39,69,66
5201,1,0,0,9,12,21,24
5202,1,0,0,0,6,6,6
5300,1,0,0,0,0,0,0
5400,1,0,0,0,0,0,0
5500,1,0,6,12,63,81,75
