meshblock_id,census_year_id,households
100,1,3
200,1,27
300,1,21
400,1,9
501,1,0
502,1,15
600,1,18
700,1,24
800,1,48
900,1,12
1000,1,30
1100,1,33
1201,1,24
1202,1,0
1203,1,48
1204,1,66
1301,1,63
1302,1,87
1400,1,15
1500,1,9
1600,1,0
1700,1,3
1800,1,27
1900,1,24
2000,1,21
2100,1,0
2200,1,75
2301,1,0
2302,1,3
2303,1,45
2304,1,18
2305,1,9
2306,1,6
2400,1,51
2500,1,3
2603,1,24
2604,1,36
2605,1,24
2606,1,45
2607,1,30
2608,1,6
2609,1,24
2610,1,42
2611,1,30
2700,1,57
2800,1,18
2900,1,48
3000,1,15
3100,1,24
3200,1,51
3300,1,45
3400,1,12
3501,1,12
3502,1,18
3503,1,3
3504,1,9
3505,1,3
3506,1,12
3600,1,39
3701,1,21
3702,1,18
3800,1,66
3900,1,78
4000,1,60
4101,1,63
4102,1,81
4104,1,24
4105,1,18
4106,1,18
4107,1,12
4108,1,27
4201,1,24
4202,1,3
4203,1,3
4204,1,18
4205,1,9
4206,1,3
4207,1,6
4208,1,30
4209,1,3
4210,1,0
4301,1,45
4302,1,75
4400,1,42
4501,1,0
4502,1,0
4600,1,6
4700,1,6
4800,1,9
4900,1,81
5000,1,18
5100,1,69
5201,1,24
5202,1,9
5300,1,0
5400,1,0
5500,1,81
5600,1,87
5700,1,63
5800,1,3
5900,1,39
6000,1,18
6100,1,15
6200,1,18
6300,1,48
6400,1,12
6500,1,36
6600,1,54
6700,1,54
6800,1,27
6900,1,42
7000,1,12
7101,1,0
7102,1,6
7201,1,15
7202,1,27
7300,1,39
7400,1,18
7500,1,12
7600,1,42
7700,1,27
7801,1,6
7802,1,0
7900,1,54
8000,1,6
8100,1,0
8200,1,30
8301,1,54
8302,1,0
8401,1,24
8403,1,3
8404,1,18
8501,1,15
8502,1,39
8600,1,33
8700,1,18
8800,1,15
8901,1,0
8902,1,21
9001,1,12
9002,1,0
9101,1,54
9102,1,21
9103,1,9
9200,1,18
9300,1,27
9400,1,45
9500,1,6
9600,1,9
9700,1,21
9800,1,0
9900,1,6
10005,1,15
10006,1,15
10007,1,15
10008,1,18
10009,1,12
10010,1,15
10011,1,21
10012,1,18
10013,1,0
10014,1,0
10101,1,42
10102,1,42
10200,1,3
10300,1,3
10400,1,12
10500,1,21
10600,1,33
10700,1,111
10800,1,0
10900,1,33
11000,1,18
11100,1,15
11200,1,3
11300,1,39
11400,1,12
11500,1,0
11600,1,3
11700,1,12
11800,1,15
11900,1,18
12000,1,6
12101,1,0
12102,1,6
12103,1,24
12200,1,12
12300,1,18
12400,1,39
12500,1,15
12601,1,12
12602,1,9
12701,1,21
12702,1,27
12800,1,0
12902,1,18
12903,1,45
12904,1,60
13000,1,60
13100,1,81
13203,1,63
13204,1,21
13205,1,36
13206,1,42
13207,1,24
13300,1,93
13400,1,63
13500,1,3
13600,1,18
13700,1,45
13800,1,0
13900,1,36
14000,1,3
14100,1,15
14200,1,3
14300,1,39
14400,1,84
14500,1,9
14600,1,0
14700,1,24
14800,1,6
14900,1,57
15000,1,27
15100,1,57
15200,1,24
15300,1,78
15401,1,6
15402,1,81
15500,1,90
15600,1,48
15700,1,54
15800,1,36
15900,1,24
16000,1,27
16100,1,0
16200,1,27
16300,1,48
16400,1,9
16500,1,0
16600,1,33
16700,1,27
16800,1,18
16901,1,0
16902,1,3
17001,1,0
17003,1,0
17005,1,0
17006,1,0
17100,1,0
17200,1,0
17301,1,15
17302,1,15
17402,1,42
17403,1,24
17404,1,3
17405,1,0
17406,1,3
17407,1,3
17408,1,9
17409,1,6
17500,1,39
17600,1,36
17700,1,36
17800,1,30
17900,1,6
18000,1,3
18100,1,33
18201,1,48
18202,1,3
18203,1,6
18300,1,15
18400,1,6
18500,1,12
18600,1,6
18700,1,24
18800,1,27
18900,1,90
19000,1,3
19100,1,18
19200,1,15
19300,1,18
19400,1,48
19500,1,0
19600,1,39
19700,1,39
19801,1,39
19802,1,0
19900,1,81
20000,1,51
20100,1,0
20200,1,66
20300,1,33
20401,1,63
20402,1,51
20500,1,0
20600,1,9
20700,1,27
20800,1,15
20900,1,12
21000,1,18
21100,1,6
21200,1,6
21300,1,15
21400,1,15
21500,1,3
21600,1,0
21700,1,0
21800,1,0
21900,1,15
22000,1,51
22100,1,15
22200,1,9
22300,1,24
22400,1,12
22500,1,48
22600,1,12
22700,1,15
22800,1,36
22900,1,12
23000,1,21
23100,1,45
23200,1,9
23300,1,33
23400,1,27
23500,1,0
23600,1,39
23700,1,36
23800,1,42
23900,1,18
24000,1,27
24100,1,9
24201,1,0
24202,1,0
24300,1,27
24400,1,51
24500,1,18
24600,1,24
24700,1,18
24800,1,0
24900,1,12
25000,1,12
25100,1,27
25200,1,33
25300,1,27
25400,1,18
25500,1,18
25600,1,18
25700,1,12
25800,1,33
25900,1,9
26001,1,18
26002,1,54
26100,1,0
26201,1,15
26202,1,81
26301,1,0
26302,1,18
26303,1,24
26304,1,0
26305,1,3
26400,1,18
26500,1,21
26600,1,15
26700,1,9
26800,1,24
26900,1,24
27000,1,3
27100,1,12
27200,1,0
27300,1,18
27400,1,21
27500,1,21
27600,1,12
27700,1,6
27800,1,15
27900,1,6
28000,1,12
28100,1,15
28201,1,0
28202,1,6
28300,1,33
28400,1,0
28500,1,15
28600,1,15
28700,1,15
28800,1,3
28900,1,21
29000,1,9
29101,1,0
29102,1,0
29200,1,6
29301,1,0
29302,1,9
29400,1,30
29500,1,21
29600,1,12
29700,1,18
29800,1,27
29900,1,6
30000,1,18
30100,1,9
30200,1,9
30300,1,12
30400,1,21
30500,1,15
30600,1,27
30700,1,27
30800,1,12
30900,1,12
31000,1,12
31100,1,9
31200,1,24
31300,1,3
31400,1,18
31500,1,51
31600,1,6
31700,1,12
31800,1,27
31900,1,21
32000,1,3
32100,1,21
32200,1,3
32300,1,42
32400,1,12
32501,1,21
32502,1,0
32600,1,36
32700,1,12
32800,1,6
32900,1,12
33000,1,21
33100,1,45
33200,1,9
33300,1,3
33400,1,18
33500,1,6
33600,1,45
33700,1,51
33800,1,45
