meshblock_id,census_year_id,housing_new_zealand,local_authority_or_city_council,not_elsewhere_included,private_person_trust_or_business,stated_owned,total,total_stated
100,1,0,0,0,0,0,3,0
200,1,6,0,0,0,0,9,9
300,1,0,0,0,0,0,6,0
400,1,0,0,0,0,0,3,0
501,1,0,0,0,0,0,0,0
502,1,0,0,0,0,0,9,0
600,1,0,0,0,6,0,6,6
700,1,0,0,0,0,0,9,6
800,1,9,0,0,3,0,18,15
900,1,0,0,0,0,0,0,0
1000,1,0,0,0,0,0,3,0
1100,1,0,0,0,0,0,6,0
1201,1,0,0,0,0,0,3,0
1202,1,0,0,0,0,0,0,0
1203,1,0,0,0,9,0,9,9
1204,1,0,0,0,18,0,18,15
1301,1,0,0,0,9,0,9,9
1302,1,0,0,0,12,3,15,12
1400,1,0,0,0,0,0,3,0
1500,1,0,0,0,0,0,0,0
1600,1,0,0,0,0,0,0,0
1700,1,0,0,0,0,0,0,0
1800,1,0,0,0,0,0,3,0
1900,1,0,0,0,0,0,3,0
2000,1,0,0,0,0,0,3,0
2100,1,0,0,0,0,0,0,0
2200,1,0,0,0,6,0,6,6
2301,1,0,0,0,0,0,0,0
2302,1,0,0,0,0,0,0,0
2303,1,0,0,0,0,0,6,6
2304,1,0,0,0,0,0,0,0
2305,1,0,0,0,0,0,3,0
2306,1,0,0,0,0,0,3,0
2400,1,0,0,0,9,0,6,6
2500,1,0,0,0,0,0,0,0
2603,1,0,0,0,0,0,3,0
2604,1,0,0,0,0,0,3,0
2605,1,0,0,0,0,0,0,0
2606,1,0,0,3,9,0,9,9
2607,1,0,0,0,0,0,0,0
2608,1,0,0,0,0,0,3,0
2609,1,0,0,0,0,0,3,0
2610,1,0,0,0,6,0,9,9
2611,1,0,0,0,0,0,6,6
2700,1,0,0,0,0,0,3,0
2800,1,0,0,0,0,0,3,0
2900,1,0,0,0,12,0,12,12
3000,1,0,0,0,0,0,0,0
3100,1,0,0,0,0,0,3,0
3200,1,0,0,0,0,0,6,0
3300,1,0,0,0,0,0,0,0
3400,1,0,0,0,0,0,0,0
3501,1,0,0,0,0,0,0,0
3502,1,0,0,0,0,0,3,0
3503,1,0,0,0,0,0,0,0
3504,1,0,0,0,0,0,0,0
3505,1,0,0,0,0,0,0,0
3506,1,0,0,0,0,0,6,0
3600,1,0,0,0,0,0,3,0
3701,1,0,0,0,0,0,0,0
3702,1,0,0,0,0,0,3,0
3800,1,0,0,0,6,0,9,6
3900,1,0,0,0,12,0,12,12
4000,1,0,0,0,9,0,9,9
4101,1,0,0,0,12,0,15,15
4102,1,0,0,0,18,0,18,18
4104,1,0,0,0,6,0,9,6
4105,1,0,0,0,6,0,6,6
4106,1,0,0,0,0,0,3,0
4107,1,0,0,0,0,0,3,0
4108,1,0,0,0,12,0,12,9
4201,1,0,0,0,12,0,15,12
4202,1,0,0,0,0,0,0,0
4203,1,0,0,0,0,0,3,0
4204,1,0,0,0,0,0,6,0
4205,1,0,0,0,0,0,3,0
4206,1,0,0,0,0,0,3,0
