meshblock_id,census_year_id,none,not_elsewhere_included,one,three_or_more,total,two
100,1,0,0,0,0,0,0
200,1,9,0,12,3,27,6
300,1,6,0,12,3,21,3
400,1,0,0,6,0,12,0
501,1,0,0,0,0,0,0
502,1,3,0,9,0,15,3
600,1,6,0,9,0,18,3
700,1,3,0,12,3,21,9
800,1,9,6,18,6,42,6
900,1,0,0,3,3,12,6
1000,1,0,9,9,3,21,6
1100,1,0,6,18,3,30,6
1201,1,0,6,12,3,18,6
1202,1,0,0,0,0,0,0
1203,1,6,3,18,3,42,18
1204,1,9,0,24,12,63,24
1301,1,3,15,21,6,48,15
1302,1,3,9,33,12,81,33
1400,1,0,0,6,3,15,3
1500,1,0,0,0,0,0,0
1600,1,0,0,0,0,0,0
1700,1,0,0,0,0,0,0
1800,1,3,6,9,6,24,6
1900,1,0,3,12,0,21,9
2000,1,6,0,6,3,18,9
2100,1,0,0,0,0,0,0
2200,1,6,15,24,12,63,24
2301,1,0,0,0,0,0,0
2302,1,0,0,0,0,0,0
2303,1,3,6,18,6,36,12
2304,1,0,3,3,3,15,9
2305,1,0,0,6,0,12,0
2306,1,0,0,0,0,6,0
2400,1,6,6,21,6,45,15
2500,1,0,0,0,0,0,0
2603,1,0,0,12,0,21,9
2604,1,0,12,12,0,24,9
2605,1,0,0,12,3,24,9
2606,1,3,9,21,6,36,6
2607,1,3,3,21,0,27,0
2608,1,0,0,0,0,9,0
2609,1,3,3,9,3,24,12
2610,1,0,0,15,6,42,21
2611,1,3,0,15,0,30,9
2700,1,0,0,27,9,54,18
2800,1,0,3,9,3,15,3
2900,1,0,6,21,3,42,21
3000,1,0,3,3,3,9,6
3100,1,0,0,9,3,24,9
3200,1,0,3,18,6,51,27
3300,1,0,3,15,6,42,18
3400,1,0,0,6,0,9,6
3501,1,0,0,0,0,6,0
3502,1,3,0,9,0,15,6
3503,1,0,0,0,0,0,0
3504,1,0,0,0,0,6,0
3505,1,0,0,0,0,0,0
3506,1,0,0,6,0,12,6
3600,1,3,18,9,3,21,6
3701,1,0,3,9,0,15,3
3702,1,3,3,9,0,15,6
3800,1,3,12,21,12,57,24
3900,1,3,21,33,6,60,18
4000,1,3,12,27,3,45,15
4101,1,0,12,27,3,54,24
4102,1,3,18,45,3,63,15
4104,1,3,0,9,0,21,6
4105,1,0,3,6,3,15,9
4106,1,0,0,9,3,15,9
4107,1,0,0,6,3,15,6
4108,1,0,0,12,3,27,12
4201,1,12,0,6,3,24,3
4202,1,0,0,0,0,0,0
4203,1,0,0,0,0,0,0
4204,1,0,0,9,0,21,6
4205,1,0,0,0,0,9,0
4206,1,0,0,0,0,0,0
4207,1,0,0,0,0,0,0
4208,1,0,3,15,3,24,6
4209,1,0,0,0,0,0,0
4210,1,0,0,0,0,0,0
4301,1,3,3,18,9,42,9
4302,1,3,3,33,6,69,30
4400,1,0,6,21,3,36,12
4501,1,0,0,0,0,0,0
4502,1,0,0,0,0,0,0
4600,1,0,0,0,0,0,0
4700,1,0,0,0,0,0,0
4800,1,0,0,0,0,6,0
4900,1,3,6,36,6,78,30
5000,1,0,3,6,0,12,6
5100,1,9,3,27,6,66,27
5201,1,0,3,9,3,18,9
5202,1,0,0,0,0,6,0
5300,1,0,0,0,0,0,0
5400,1,0,0,0,0,0,0
5500,1,3,6,48,6,75,21
5600,1,0,15,30,15,72,27
5700,1,9,12,21,3,54,18
5800,1,0,0,0,0,0,0
5900,1,3,3,12,9,33,12
6000,1,0,6,9,0,12,0
6100,1,0,3,3,3,15,9
6200,1,3,0,9,3,18,3
6300,1,3,9,15,3,39,15
6400,1,0,0,3,3,9,9
6500,1,3,3,15,9,33,12
6600,1,3,0,18,6,54,24
6700,1,0,3,21,6,51,18
6800,1,3,0,12,6,27,12
6900,1,0,3,24,6,42,9
7000,1,0,0,3,3,15,9
7101,1,0,0,0,0,0,0
7102,1,0,0,0,0,0,0
7201,1,3,0,6,6,15,3
7202,1,3,9,12,0,21,3
7300,1,3,6,15,3,36,12
7400,1,0,3,9,0,15,6
7500,1,0,0,3,0,9,3
7600,1,0,3,18,9,39,12
7700,1,0,6,6,3,24,12
7801,1,0,0,0,0,6,0
7802,1,0,0,0,0,0,0
7900,1,0,12,18,3,42,21
8000,1,0,0,0,0,0,0
8100,1,0,0,0,0,0,0
8200,1,0,3,12,6,30,9
8301,1,6,3,15,6,54,24
8302,1,0,0,0,0,0,0
8401,1,3,0,6,6,24,6
8403,1,0,0,0,0,0,0
8404,1,0,6,6,0,15,3
8501,1,0,3,6,0,15,9
8502,1,3,0,18,3,36,12
8600,1,0,3,9,9,30,15
8700,1,3,0,6,0,18,9
8800,1,0,0,3,3,12,9
8901,1,0,0,0,0,0,0
8902,1,0,3,6,3,18,6
9001,1,0,0,6,3,12,3
9002,1,0,0,0,0,0,0
9101,1,3,9,9,9,42,24
9102,1,0,0,12,3,18,3
9103,1,0,0,9,0,9,0
9200,1,0,3,6,0,15,9
9300,1,3,3,9,3,27,15
9400,1,0,0,15,9,45,21
9500,1,0,0,0,0,0,0
9600,1,0,0,0,0,9,0
9700,1,0,3,6,3,21,15
