meshblock_id,census_year_id,non_partnered,not_stated,partnered,total,total_stated
100,1,3,3,3,6,6
200,1,27,3,27,57,54
300,1,24,3,27,54,51
400,1,6,3,12,21,21
501,1,0,0,0,0,0
502,1,9,3,12,21,18
600,1,12,0,21,33,33
700,1,24,6,18,45,39
800,1,36,15,57,102,90
900,1,9,0,12,21,21
1000,1,18,15,33,72,51
1100,1,15,12,42,69,57
1201,1,12,6,24,48,39
1202,1,0,0,0,0,0
1203,1,18,9,60,84,78
1204,1,42,9,90,141,132
1301,1,30,18,69,120,102
1302,1,42,21,111,171,153
1400,1,15,3,18,36,36
1500,1,0,6,9,15,12
1600,1,0,0,0,0,0
1700,1,3,0,3,6,6
1800,1,24,9,33,63,54
1900,1,9,6,33,42,39
2000,1,9,3,33,45,42
2100,1,0,0,0,0,0
2200,1,39,27,90,153,129
2301,1,0,0,0,3,0
2302,1,3,3,3,9,9
2303,1,27,12,45,81,69
2304,1,12,3,21,36,33
2305,1,12,0,6,18,18
2306,1,3,0,9,15,15
2400,1,36,18,57,111,93
2500,1,0,0,0,3,0
2603,1,9,6,27,42,39
2604,1,15,15,42,75,60
2605,1,12,3,33,48,45
2606,1,24,18,54,96,78
2607,1,15,6,36,57,54
2608,1,3,0,15,15,15
2609,1,12,12,30,51,39
2610,1,21,0,63,84,81
2611,1,27,6,30,63,54
2700,1,27,6,75,108,102
2800,1,6,12,24,45,33
2900,1,18,24,63,105,78
3000,1,6,3,21,27,27
3100,1,21,3,30,60,57
3200,1,36,0,66,102,102
3300,1,15,15,66,96,81
3400,1,9,0,18,24,27
3501,1,6,6,12,21,18
3502,1,12,3,15,27,27
3503,1,3,0,3,9,6
3504,1,3,0,12,15,15
3505,1,3,3,3,6,6
3506,1,9,3,12,24,24
3600,1,15,45,27,90,45
3701,1,6,9,21,42,30
3702,1,6,6,30,39,33
3800,1,45,27,75,147,117
3900,1,42,63,72,177,114
4000,1,36,27,54,117,93
4101,1,30,15,87,132,114
4102,1,39,42,75,156,114
4104,1,9,3,30,39,36
4105,1,9,0,21,36,30
4106,1,6,0,24,33,30
4107,1,9,0,9,24,24
4108,1,18,0,27,42,45
4201,1,9,6,24,39,36
4202,1,3,0,6,12,9
4203,1,0,0,6,9,9
4204,1,9,3,18,33,30
4205,1,6,3,15,21,18
4206,1,0,0,6,6,6
4207,1,3,0,6,9,9
4208,1,15,3,27,45,42
4209,1,0,0,0,3,0
4210,1,0,0,0,0,0
4301,1,27,6,51,84,78
4302,1,30,9,87,129,117
4400,1,18,6,57,81,72
4501,1,0,0,0,0,0
4502,1,0,0,0,3,0
4600,1,6,3,3,12,9
4700,1,3,0,6,6,6
4800,1,12,3,9,24,21
4900,1,48,12,102,159,150
5000,1,9,6,24,39,33
5100,1,42,12,78,135,123
5201,1,12,3,24,42,36
5202,1,6,3,9,15,15
5300,1,0,0,0,0,0
5400,1,0,0,0,0,0
5500,1,51,12,96,162,147
5600,1,57,33,105,195,162
5700,1,48,12,48,108,96
5800,1,0,0,0,3,0
5900,1,27,9,45,81,72
6000,1,15,12,18,42,30
6100,1,6,3,24,30,30
6200,1,12,0,18,30,27
6300,1,33,21,51,105,84
6400,1,3,9,18,27,21
6500,1,15,6,51,66,63
6600,1,27,6,78,108,105
6700,1,30,3,69,105,102
6800,1,24,0,33,57,60
6900,1,27,6,54,84,81
7000,1,9,3,15,30,24
7101,1,0,0,0,0,0
7102,1,3,3,6,9,9
7201,1,18,6,12,33,30
7202,1,21,12,15,48,36
7300,1,27,9,45,84,75
7400,1,9,6,12,30,24
7500,1,9,3,15,24,21
7600,1,30,6,51,87,81
7700,1,9,15,36,60,48
7801,1,6,0,12,18,15
7802,1,0,0,0,0,0
7900,1,33,27,51,111,84
8000,1,6,3,0,9,3
8100,1,0,0,0,3,0
8200,1,9,9,42,57,51
8301,1,30,9,78,117,108
8302,1,0,0,0,6,0
8401,1,15,0,36,51,48
8403,1,0,0,0,6,0
8404,1,12,12,21,45,33
8501,1,9,6,24,39,33
8502,1,27,6,45,75,72
8600,1,18,6,54,75,69
8700,1,12,6,24,45,36
8800,1,12,3,21,30,33
8901,1,0,0,0,0,0
8902,1,15,6,30,48,45
9001,1,6,0,18,24,24
9002,1,0,0,0,0,0
9101,1,30,21,75,126,105
9102,1,15,3,21,39,36
9103,1,3,0,15,21,18
9200,1,6,0,24,27,27
9300,1,15,3,36,51,48
9400,1,18,3,75,96,90
9500,1,6,6,3,12,9
9600,1,6,6,9,18,15
9700,1,15,3,33,51,48
9800,1,0,0,0,0,0
9900,1,3,3,6,9,9
10005,1,9,3,18,27,24
10006,1,12,9,18,39,30
10007,1,12,3,21,36,33
10008,1,9,9,24,42,33
10009,1,6,6,15,24,21
10010,1,12,9,12,30,24
10011,1,24,0,18,42,42
10012,1,12,0,18,33,30
10013,1,0,0,0,0,0
10014,1,0,0,0,3,0
10101,1,33,6,48,87,81
10102,1,33,6,42,81,78
10200,1,0,0,0,6,6
10300,1,0,0,6,9,9
10400,1,3,0,18,21,21
10500,1,15,9,15,36,30
10600,1,18,6,33,60,54
10700,1,75,15,135,225,210
10800,1,0,0,0,6,0
10900,1,21,18,36,75,57
11000,1,18,9,27,54,45
11100,1,9,6,15,33,24
11200,1,0,0,0,6,0
11300,1,33,24,45,99,78
11400,1,9,3,12,27,24
11500,1,0,0,0,3,0
11600,1,3,0,6,9,9
11700,1,9,3,12,27,21
11800,1,6,9,15,30,21
11900,1,12,9,27,45,39
12000,1,3,6,9,21,15
12101,1,0,0,0,0,0
12102,1,6,0,3,12,9
12103,1,18,9,18,45,33
12200,1,12,15,9,36,24
12300,1,9,18,24,51,36
12400,1,30,12,33,78,66
12500,1,9,12,12,30,21
12601,1,15,0,15,30,30
12602,1,3,3,12,18,12
12701,1,18,9,18,48,36
12702,1,24,21,15,60,39
12800,1,0,0,0,0,0
12902,1,12,6,24,42,36
12903,1,36,15,51,105,90
12904,1,51,33,63,147,114
13000,1,60,18,63,141,120
13100,1,63,21,90,174,153
13203,1,60,33,63,162,126
13204,1,15,0,24,42,42
13205,1,33,6,39,81,75
13206,1,39,30,30,99,69
13207,1,24,9,33,63,57
13300,1,69,24,117,210,183
13400,1,36,15,66,117,99
13500,1,6,0,3,12,9
13600,1,12,6,24,45,36
13700,1,36,6,36,75,69
13800,1,0,0,0,0,0
13900,1,21,18,45,84,66
14000,1,0,0,0,3,0
14100,1,12,3,9,24,21
14200,1,0,3,6,9,9
14300,1,27,6,42,75,69
14400,1,51,18,105,174,156
14500,1,3,0,12,15,12
14600,1,0,0,0,0,0
14700,1,18,6,18,45,39
14800,1,6,6,3,18,9
14900,1,39,6,69,117,111
15000,1,12,3,36,51,48
15100,1,42,9,42,93,84
15200,1,15,12,33,57,45
15300,1,60,21,78,162,141
15401,1,6,0,6,12,12
15402,1,66,60,81,210,150
15500,1,102,27,81,207,186
15600,1,57,6,51,117,108
15700,1,48,3,33,87,81
15800,1,36,6,36,72,69
15900,1,27,3,18,48,45
16000,1,21,6,21,48,42
16100,1,0,0,0,3,0
16200,1,18,15,30,63,48
16300,1,39,15,42,96,81
16400,1,9,0,0,9,9
16500,1,0,0,0,6,6
16600,1,12,24,33,69,48
16700,1,21,15,12,51,33
16800,1,12,6,15,33,27
16901,1,0,0,0,0,0
16902,1,0,0,0,0,0
17001,1,0,0,0,0,0
17003,1,0,0,0,0,0
17005,1,0,0,0,0,0
17006,1,0,0,0,3,0
17100,1,0,0,0,0,0
17200,1,0,0,0,0,0
17301,1,3,9,21,33,27
17302,1,15,3,18,33,33
17402,1,30,21,36,87,66
17403,1,9,21,24,51,30
17404,1,0,0,6,6,6
17405,1,0,0,0,0,0
17406,1,0,0,0,3,0
17407,1,0,0,0,3,0
17408,1,3,3,9,15,12
17409,1,3,3,6,6,9
17500,1,27,6,51,84,81
17600,1,21,12,42,75,63
17700,1,33,3,30,69,63
17800,1,12,27,33,69,42
17900,1,3,6,6,15,9
18000,1,0,0,0,6,6
18100,1,18,24,36,78,51
18201,1,24,18,42,87,72
18202,1,0,6,0,6,0
18203,1,3,0,6,9,9
18300,1,12,0,21,33,33
18400,1,3,0,9,12,12
18500,1,12,0,18,24,24
18600,1,9,0,6,18,15
18700,1,27,3,15,51,45
18800,1,30,12,30,75,63
18900,1,81,3,90,174,171
19000,1,3,0,6,9,9
19100,1,9,3,24,39,36
19200,1,3,0,21,27,27
19300,1,3,0,30,36,33
19400,1,30,15,63,108,93
19500,1,0,0,0,0,0
19600,1,33,18,48,99,81
19700,1,18,12,39,69,57
19801,1,21,27,51,96,69
19802,1,0,0,0,3,0
19900,1,39,9,93,144,132
20000,1,30,18,39,93,69
20100,1,0,0,0,0,0
20200,1,27,15,102,147,129
20300,1,27,6,30,66,57
20401,1,24,33,78,135,102
20402,1,42,21,57,117,99
20500,1,0,0,0,6,0
20600,1,6,0,15,21,18
20700,1,12,18,24,48,33
20800,1,12,6,15,33,27
20900,1,6,0,18,24,24
21000,1,0,24,9,39,12
21100,1,3,6,3,12,6
21200,1,3,9,3,15,6
21300,1,6,12,9,30,15
21400,1,3,12,18,36,24
21500,1,0,0,0,6,0
21600,1,0,0,0,0,0
21700,1,0,0,0,0,0
21800,1,0,0,0,0,0
21900,1,6,6,15,30,21
22000,1,45,12,45,105,93
22100,1,15,0,12,27,27
22200,1,6,3,6,15,12
22300,1,15,6,33,51,45
22400,1,9,3,15,24,24
22500,1,39,27,63,129,105
22600,1,6,6,9,21,15
