meshblock_id,census_year_id,doctortates,level_five_or_six,level_four,level_one,level_seven,level_three,level_two,masters,no_qualification,not_elsewhere_included,overseas_secondary,postgraduate,total,total_stated
100,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0
200,2,0,0,3,6,0,0,3,0,27,12,0,0,54,45
300,2,0,3,0,3,0,0,0,0,39,12,0,0,57,51
400,2,0,0,0,0,0,0,0,0,6,0,0,0,21,18
501,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
502,2,0,0,0,0,0,0,0,0,0,0,0,0,18,15
600,2,0,0,3,3,0,0,0,0,21,12,0,0,39,30
700,2,0,3,3,12,0,0,6,0,18,6,0,0,48,45
800,2,0,6,6,18,0,3,6,0,48,12,0,0,99,87
900,2,0,0,0,0,0,0,0,0,9,0,0,0,24,18
1000,2,0,0,6,6,3,0,6,3,18,6,3,0,51,45
1100,2,0,0,3,3,0,0,9,3,24,6,0,0,51,48
1201,2,0,3,6,9,0,6,6,0,12,9,3,0,57,48
1202,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1203,2,0,6,12,12,3,3,15,0,27,15,0,0,93,78
1204,2,0,6,21,18,3,9,9,0,42,18,3,0,135,114
1301,2,0,3,12,12,0,9,12,0,39,15,3,0,105,93
1302,2,0,12,18,27,9,6,15,0,63,18,6,3,174,159
1400,2,0,3,3,6,0,6,3,0,12,6,0,0,45,36
1500,2,0,0,0,0,0,0,0,0,9,0,0,0,18,15
1600,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1700,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0
1800,2,0,6,3,15,3,3,9,3,21,9,0,0,66,57
1900,2,0,0,3,6,0,0,3,0,12,6,0,0,36,30
2000,2,0,6,3,12,0,0,0,0,9,6,3,3,45,39
2100,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2200,2,0,9,27,27,15,12,9,0,51,18,9,3,192,174
2301,2,0,3,3,6,0,6,3,0,18,6,0,0,48,39
2302,2,0,0,0,0,0,0,0,0,0,0,0,0,6,6
2303,2,0,6,6,12,3,3,9,0,12,0,3,0,54,51
2304,2,0,9,6,12,0,6,6,0,12,3,3,0,54,51
2305,2,0,0,0,0,0,0,0,0,6,0,0,0,18,18
2306,2,0,0,0,0,0,0,0,0,0,0,0,0,6,0
2400,2,0,3,3,6,0,3,6,0,21,24,3,0,69,45
2500,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2603,2,0,0,6,3,3,0,3,0,9,0,3,0,30,30
2604,2,0,0,9,12,3,3,0,0,9,27,0,0,66,36
2605,2,0,3,9,9,3,3,6,0,21,9,3,3,63,54
2606,2,0,6,9,15,6,3,6,0,33,9,3,0,87,81
2607,2,0,3,0,6,3,0,3,3,18,12,0,3,45,33
2608,2,0,0,0,0,0,0,6,0,0,0,0,0,21,21
2609,2,0,6,3,12,3,6,3,0,18,6,0,0,54,48
2610,2,0,6,15,12,6,3,9,0,36,18,3,0,105,87
2611,2,0,6,6,12,3,0,6,0,21,15,3,0,69,54
2700,2,0,6,9,21,3,3,12,0,24,18,3,0,96,78
2800,2,0,3,6,6,0,3,0,0,18,6,0,0,45,39
2900,2,3,9,9,12,0,3,12,3,27,12,3,0,87,72
3000,2,0,0,0,6,0,0,6,0,12,6,0,3,36,27
3100,2,0,0,3,6,0,3,9,0,18,9,3,0,54,48
3200,2,0,6,12,15,3,6,9,0,33,9,0,3,102,93
3300,2,0,9,15,18,9,3,15,0,51,21,0,0,144,123
