meshblock_id,census_year_id,married,never,not_elsewhere_included,separated,total,total_stated
100,1,0,0,0,0,6,6
200,1,15,24,6,9,57,51
300,1,21,27,6,3,57,51
400,1,6,6,3,6,21,18
501,1,0,0,0,0,0,0
502,1,9,9,0,3,21,18
600,1,15,9,6,3,33,30
700,1,18,15,0,15,48,45
800,1,36,39,12,15,102,93
900,1,9,6,0,6,21,24
1000,1,24,21,18,9,69,51
1100,1,27,18,18,9,72,54
1201,1,15,9,9,12,45,36
1202,1,0,0,0,0,0,0
1203,1,48,18,6,12,84,81
1204,1,60,36,12,36,141,129
1301,1,51,30,15,24,120,105
1302,1,90,36,24,18,171,150
1400,1,15,6,3,12,36,33
1500,1,9,0,6,3,15,9
1600,1,0,0,0,0,0,0
1700,1,0,0,0,0,6,6
1800,1,27,21,9,6,63,57
1900,1,27,9,0,6,45,42
2000,1,24,9,3,9,45,42
2100,1,0,0,0,0,0,0
2200,1,63,27,33,27,153,120
2301,1,0,0,0,0,3,0
2302,1,3,3,3,0,9,6
2303,1,39,21,12,12,81,72
2304,1,15,15,3,3,36,36
2305,1,6,6,0,9,18,18
2306,1,9,3,0,3,15,15
2400,1,45,27,18,18,114,90
2500,1,0,0,0,0,3,0
2603,1,21,3,3,12,42,39
2604,1,27,9,24,12,75,51
2605,1,24,9,9,9,48,42
2606,1,45,18,18,9,93,75
2607,1,30,9,12,9,60,48
2608,1,6,6,0,0,15,15
2609,1,30,6,9,3,48,42
2610,1,54,15,3,9,84,78
2611,1,30,12,6,15,63,57
2700,1,57,24,9,21,108,99
2800,1,15,6,15,6,42,30
2900,1,51,18,21,12,105,84
3000,1,18,3,6,0,27,24
3100,1,21,24,9,3,60,54
3200,1,60,21,6,18,102,96
3300,1,54,12,12,15,96,81
3400,1,15,6,0,3,24,27
3501,1,12,3,6,3,21,15
3502,1,15,6,0,6,27,27
3503,1,0,0,0,0,6,0
3504,1,9,3,0,3,15,15
3505,1,0,0,0,0,6,6
3506,1,9,6,3,6,24,24
3600,1,15,21,51,3,87,39
3701,1,15,12,12,6,39,30
3702,1,18,6,6,6,39,33
3800,1,66,33,33,12,147,114
3900,1,51,42,63,21,174,114
4000,1,45,30,27,15,117,90
4101,1,72,18,21,15,132,108
4102,1,63,15,42,36,156,114
4104,1,15,6,3,12,36,33
4105,1,9,12,0,9,33,33
4106,1,21,3,0,6,30,33
4107,1,6,6,6,6,24,18
4108,1,21,9,0,15,45,45
4201,1,15,12,3,9,39,36
4202,1,6,3,0,0,9,9
4203,1,6,0,0,0,6,6
4204,1,18,6,0,6,30,33
4205,1,9,3,0,6,24,21
4206,1,0,0,0,0,9,9
4207,1,6,3,0,3,12,12
4208,1,18,3,6,15,45,39
4209,1,0,0,0,0,6,0
4210,1,0,0,0,0,0,0
4301,1,36,18,12,18,81,72
4302,1,75,15,9,33,129,120
4400,1,45,12,9,12,78,69
4501,1,0,0,0,0,3,0
4502,1,0,0,0,0,3,0
4600,1,6,0,3,0,12,9
4700,1,0,0,0,0,6,9
4800,1,3,9,6,6,24,18
4900,1,93,24,9,36,162,150
5000,1,18,12,6,9,39,33
5100,1,51,33,12,39,135,123
