meshblock_id,census_year_id,females,males,total
100,1,3,6,9
200,1,45,42,90
300,1,48,42,93
400,1,15,18,30
501,1,0,0,0
502,1,15,18,33
600,1,24,24,48
700,1,30,30,57
800,1,81,78,162
900,1,9,15,24
1000,1,54,48,102
1100,1,48,48,96
1201,1,21,30,54
1202,1,0,0,0
1203,1,51,57,108
1204,1,84,87,171
1301,1,72,81,153
1302,1,114,117,234
1400,1,27,18,45
1500,1,9,12,24
1600,1,0,0,0
1700,1,3,3,6
1800,1,39,39,75
1900,1,30,30,60
2000,1,27,27,57
2100,1,0,0,0
2200,1,105,102,207
2301,1,0,0,3
2302,1,9,6,15
2303,1,54,45,102
2304,1,30,24,54
2305,1,12,9,21
2306,1,9,12,21
2400,1,66,81,147
2500,1,0,0,3
2603,1,24,21,45
2604,1,54,45,96
2605,1,30,33,66
2606,1,57,63,123
2607,1,36,39,78
2608,1,15,15,30
2609,1,36,33,69
2610,1,45,51,93
2611,1,36,39,75
2700,1,69,81,150
2800,1,33,27,63
2900,1,75,69,141
3000,1,18,21,39
3100,1,42,48,90
3200,1,66,75,144
3300,1,66,69,135
3400,1,18,15,33
3501,1,15,12,27
3502,1,12,15,30
3503,1,6,3,9
3504,1,9,9,18
3505,1,3,3,9
3506,1,18,12,33
3600,1,75,51,123
3701,1,24,27,54
3702,1,33,36,66
3800,1,96,96,192
3900,1,123,138,258
4000,1,87,75,162
4101,1,81,81,162
4102,1,93,87,180
4104,1,21,27,48
4105,1,18,24,45
4106,1,21,18,39
4107,1,18,12,30
4108,1,30,36,63
4201,1,33,24,57
4202,1,3,6,9
4203,1,3,3,9
4204,1,18,18,36
4205,1,15,12,27
4206,1,3,6,9
4207,1,6,3,9
4208,1,27,24,48
4209,1,0,0,3
4210,1,0,0,3
4301,1,57,42,102
4302,1,78,75,153
4400,1,63,57,120
4501,1,0,0,0
4502,1,0,0,3
4600,1,9,6,12
4700,1,3,6,6
4800,1,27,21,48
4900,1,93,105,198
5000,1,27,21,51
5100,1,81,93,177
5201,1,24,27,54
5202,1,12,9,18
5300,1,0,0,0
5400,1,0,0,0
5500,1,117,99,219
5600,1,141,135,276
5700,1,75,75,150
5800,1,0,0,6
5900,1,57,54,111
6000,1,39,30,69
6100,1,15,27,45
6200,1,24,21,42
6300,1,69,66,135
6400,1,21,18,42
6500,1,54,45,99
6600,1,81,75,156
6700,1,69,93,162
6800,1,36,36,72
6900,1,57,57,111
7000,1,21,21,39
7101,1,0,0,3
7102,1,6,3,9
7201,1,21,21,42
7202,1,27,27,57
7300,1,72,66,135
7400,1,15,21,33
7500,1,21,15,36
7600,1,57,66,120
7700,1,42,42,84
7801,1,9,15,27
7802,1,0,0,0
7900,1,75,81,159
8000,1,6,3,9
8100,1,0,0,0
8200,1,39,42,84
8301,1,72,72,144
8302,1,3,6,9
8401,1,27,36,60
8403,1,3,6,6
8404,1,33,30,66
8501,1,33,21,51
8502,1,48,48,96
8600,1,42,54,96
8700,1,30,33,66
8800,1,24,30,57
8901,1,0,0,0
8902,1,33,33,66
9001,1,15,21,36
9002,1,0,0,0
9101,1,84,81,165
9102,1,30,27,57
9103,1,9,12,21
9200,1,15,24,36
9300,1,33,36,69
9400,1,75,66,144
9500,1,6,9,18
9600,1,18,9,27
9700,1,39,45,87
9800,1,0,0,0
9900,1,6,6,12
10005,1,18,21,39
10006,1,24,24,42
10007,1,21,27,51
10008,1,30,24,54
10009,1,15,18,33
10010,1,18,21,42
10011,1,36,36,75
10012,1,24,18,42
10013,1,0,0,0
10014,1,0,0,3
10101,1,60,75,135
10102,1,66,63,129
10200,1,6,3,9
10300,1,6,6,12
10400,1,12,15,27
10500,1,21,27,51
10600,1,45,39,84
10700,1,153,147,300
10800,1,6,3,9
10900,1,57,54,111
11000,1,45,33,81
11100,1,18,21,39
11200,1,3,3,6
11300,1,72,81,153
11400,1,24,18,42
11500,1,0,3,6
11600,1,6,15,21
11700,1,21,21,39
11800,1,18,21,39
11900,1,33,39,72
12000,1,21,12,33
12101,1,0,0,0
12102,1,6,9,15
12103,1,36,36,72
12200,1,21,21,42
12300,1,36,30,69
12400,1,60,57,117
12500,1,18,27,45
