meshblock_id,census_year_id,ex,never,not_elsewhere_included,regular,total,total_stated
100,2,0,0,0,0,3,0
200,2,15,21,3,15,54,48
300,2,9,27,3,21,57,57
400,2,6,6,3,6,18,15
501,2,0,0,0,0,0,0
502,2,3,3,0,9,15,18
600,2,3,15,9,12,39,30
700,2,9,18,3,21,48,45
800,2,24,36,6,33,99,93
900,2,6,12,3,3,21,21
1000,2,15,21,6,6,51,45
1100,2,15,21,0,18,51,51
1201,2,15,24,9,6,57,48
1202,2,0,0,0,0,0,0
1203,2,30,36,9,18,93,87
1204,2,36,48,15,33,135,120
1301,2,30,33,9,30,108,99
1302,2,48,87,12,27,174,162
1400,2,6,24,3,12,42,42
1500,2,6,6,6,6,21,15
1600,2,0,0,0,0,0,0
1700,2,0,0,0,0,0,0
1800,2,9,30,6,18,69,60
1900,2,3,12,6,12,36,30
2000,2,9,21,3,9,42,42
2100,2,0,0,0,0,0,0
2200,2,45,81,15,51,192,177
2301,2,6,18,3,18,45,42
2302,2,0,0,0,0,9,6
2303,2,12,36,3,6,54,51
2304,2,18,21,3,15,57,51
2305,2,6,6,3,9,21,18
2306,2,0,0,0,0,6,9
2400,2,18,21,12,12,66,57
2500,2,0,0,0,0,3,0
2603,2,15,9,3,3,33,27
2604,2,12,15,27,9,66,39
2605,2,30,21,3,9,63,60
2606,2,21,24,6,36,90,81
2607,2,12,9,12,12,45,36
2608,2,6,12,0,3,21,21
2609,2,18,12,3,21,57,51
2610,2,39,33,12,21,105,93
2611,2,21,21,6,18,69,63
2700,2,27,39,15,15,96,81
2800,2,9,18,0,15,45,45
2900,2,24,36,9,18,84,75
3000,2,6,18,3,9,36,33
3100,2,15,24,3,12,54,48
3200,2,27,36,9,24,102,90
3300,2,33,48,21,42,144,126
3400,2,6,15,6,3,30,27
3501,2,0,9,0,0,9,12
3502,2,12,15,3,3,33,30
3503,2,0,0,0,3,9,6
3504,2,6,9,3,0,18,15
3505,2,0,0,0,0,3,0
3506,2,6,15,3,6,27,24
3600,2,15,15,3,12,48,45
3701,2,6,21,0,9,39,36
3702,2,15,18,12,3,48,36
3800,2,39,57,15,48,153,141
3900,2,30,48,21,39,135,114
4000,2,30,45,30,39,147,120
4101,2,36,51,21,21,132,111
4102,2,24,51,15,36,126,111
4104,2,24,18,0,6,51,48
4105,2,12,12,6,3,33,30
4106,2,3,18,0,6,30,33
4107,2,6,6,0,3,18,15
4108,2,15,12,3,6,39,33
4201,2,6,9,0,6,21,21
4202,2,3,9,0,0,9,9
4203,2,6,9,0,3,18,18
4204,2,6,18,0,3,30,30
4205,2,6,3,0,3,12,12
4206,2,9,6,3,0,15,15
4207,2,6,9,0,6,27,24
4208,2,18,15,6,3,42,39
4209,2,0,0,0,0,6,0
4210,2,0,0,0,0,3,0
4301,2,12,30,9,21,75,66
4302,2,33,60,15,18,132,117
4400,2,21,48,12,18,93,81
4501,2,0,0,0,0,3,0
4502,2,0,0,0,0,0,0
4600,2,3,6,0,0,12,9
4700,2,0,0,9,3,12,3
4800,2,3,15,3,12,30,27
4900,2,48,66,21,30,162,144
5000,2,6,18,6,18,45,39
5100,2,42,42,9,42,132,123
5201,2,12,21,0,9,42,39
5202,2,6,6,3,0,12,9
5300,2,0,0,0,0,0,0
5400,2,0,0,0,0,3,0
5500,2,39,63,27,42,174,147
5600,2,63,90,30,45,228,198
5700,2,24,45,15,45,126,114
5800,2,0,0,0,0,9,6
5900,2,21,24,12,27,84,72
6000,2,6,9,9,3,27,18
6100,2,9,18,3,12,39,36
6200,2,3,12,3,6,24,18
6300,2,15,48,18,18,99,81
6400,2,12,12,3,3,30,27
6500,2,15,21,12,21,66,57
6600,2,21,54,21,18,111,93
6700,2,30,60,9,27,129,117
6800,2,12,27,3,12,54,48
6900,2,21,45,12,24,102,90
7000,2,6,12,0,3,24,24
7101,2,0,0,0,0,3,0
7102,2,3,6,3,3,12,9
7201,2,6,12,3,9,33,27
7202,2,12,24,6,9,48,42
7300,2,15,24,6,36,78,72
7400,2,3,18,6,12,39,36
7500,2,12,9,0,9,33,33
7600,2,12,39,9,15,75,69
7700,2,12,21,6,6,42,36
7801,2,6,9,0,9,27,24
7802,2,0,0,0,0,0,0
7900,2,12,63,9,33,117,105
8000,2,0,0,0,0,6,6
8100,2,6,18,0,6,30,30
8200,2,12,24,3,21,60,57
8301,2,15,42,18,24,99,81
8302,2,0,0,0,0,0,0
8401,2,18,18,6,9,51,45
8403,2,0,0,0,0,6,0
8404,2,9,12,3,9,36,30
8501,2,6,9,3,6,30,27
8502,2,24,33,9,24,90,81
8600,2,18,27,9,15,69,57
8700,2,12,18,3,6,39,33
8800,2,9,21,6,3,39,36
8901,2,0,0,0,0,0,0
8902,2,12,21,21,12,63,45
9001,2,3,15,6,3,21,18
9002,2,0,0,0,0,3,0
9101,2,45,54,6,33,141,132
9102,2,9,15,6,15,39,33
9103,2,9,12,3,3,30,24
9200,2,15,18,0,6,39,39
9300,2,12,30,3,21,66,63
9400,2,24,54,6,9,90,87
9500,2,9,12,6,9,39,30
9600,2,3,3,0,9,12,15
9700,2,9,36,0,21,66,63
