meshblock_id,census_year_id,full_and_part_time,full_time,not_stated,not_studying,part_time,total,total_stated
100,2,0,0,0,0,0,0,0
200,2,0,9,6,36,3,54,48
300,2,0,3,9,48,0,60,51
400,2,0,0,3,18,0,21,18
501,2,0,0,0,0,0,0,0
502,2,0,3,0,12,0,15,18
600,2,0,3,15,21,3,39,27
700,2,0,3,3,42,3,48,45
800,2,0,6,6,75,12,99,93
900,2,0,0,0,15,0,21,21
1000,2,0,6,6,36,3,54,42
1100,2,0,6,3,42,3,51,48
1201,2,0,3,9,45,3,57,51
1202,2,0,0,0,0,0,0,0
1203,2,0,3,9,78,0,93,84
1204,2,0,6,21,105,0,135,111
1301,2,0,3,12,87,6,108,93
1302,2,0,6,12,150,9,174,162
1400,2,0,3,3,36,0,45,39
1500,2,0,0,3,15,0,18,15
1600,2,0,0,0,0,0,0,0
1700,2,0,0,0,0,0,3,0
1800,2,0,3,9,54,0,66,57
1900,2,0,0,3,33,0,36,30
2000,2,0,0,3,36,0,45,39
2100,2,0,0,0,0,0,0,0
2200,2,0,12,18,150,12,192,174
2301,2,0,6,6,33,0,45,42
2302,2,0,0,0,6,0,6,6
2303,2,0,6,3,45,3,51,51
2304,2,0,3,6,42,3,54,48
2305,2,0,0,0,18,0,21,18
2306,2,0,0,0,6,0,9,9
2400,2,0,0,12,54,0,66,57
2500,2,0,0,0,0,0,0,0
2603,2,0,0,3,27,0,33,27
2604,2,0,0,30,33,0,66,36
2605,2,0,3,6,51,3,63,54
2606,2,0,3,6,75,3,87,81
2607,2,0,3,9,30,3,45,33
2608,2,0,3,0,15,3,21,21
2609,2,0,0,6,42,3,54,51
2610,2,0,0,21,81,6,105,84
2611,2,0,3,12,48,3,69,54
2700,2,0,6,18,66,6,96,78
2800,2,0,0,3,39,3,45,42
2900,2,0,3,12,69,3,84,72
3000,2,0,0,6,27,0,33,30
3100,2,0,0,6,42,3,54,48
3200,2,0,6,6,84,6,102,96
3300,2,0,9,24,105,3,144,120
3400,2,0,0,3,24,0,30,24
3501,2,0,0,0,9,0,12,9
3502,2,0,3,3,27,3,33,30
3503,2,0,0,0,6,0,9,9
3504,2,0,0,0,15,0,18,18
3505,2,0,0,0,0,0,3,0
3506,2,0,0,3,21,3,27,27
3600,2,0,6,3,39,3,48,45
3701,2,0,3,3,30,3,39,33
3702,2,0,3,12,30,3,48,36
3800,2,0,9,24,120,3,156,132
3900,2,0,12,24,90,12,135,114
4000,2,0,6,30,102,6,147,117
4101,2,0,6,21,99,3,135,111
4102,2,0,6,21,99,3,126,105
4104,2,0,0,6,42,0,51,42
4105,2,0,0,6,27,0,33,27
4106,2,0,3,3,27,0,33,30
4107,2,0,0,0,15,0,18,15
4108,2,0,0,6,27,3,36,30
4201,2,0,3,3,18,0,24,21
4202,2,0,0,0,9,0,12,12
4203,2,0,0,3,12,0,21,15
4204,2,0,0,3,27,3,30,27
4205,2,0,0,0,12,0,12,12
4206,2,0,0,0,12,0,18,15
4207,2,0,0,6,18,0,27,21
4208,2,0,3,3,33,0,42,36
4209,2,0,0,0,0,0,3,0
4210,2,0,0,0,0,0,0,0
4301,2,0,6,12,54,6,75,60
4302,2,0,3,21,99,3,132,111
4400,2,0,6,12,72,0,93,81
4501,2,0,0,0,0,0,3,0
4502,2,0,0,0,0,0,0,0
4600,2,0,0,0,9,0,12,12
4700,2,0,3,9,3,0,12,6
4800,2,0,3,3,24,0,30,27
4900,2,0,3,21,132,6,162,141
5000,2,0,0,6,39,3,45,39
5100,2,0,3,12,111,6,132,120
5201,2,0,3,6,33,0,42,36
5202,2,0,3,3,9,0,12,9
5300,2,0,0,0,0,0,0,0
5400,2,0,0,0,0,0,3,0
5500,2,0,12,24,132,3,171,147
5600,2,0,12,27,177,18,228,204
5700,2,0,6,18,87,12,126,108
5800,2,0,0,0,9,0,9,9
5900,2,0,6,15,63,3,84,69
6000,2,0,0,6,18,0,24,21
6100,2,0,0,3,33,3,39,36
6200,2,0,0,3,18,0,21,21
6300,2,0,6,18,69,6,96,81
6400,2,0,3,3,27,3,30,27
6500,2,0,3,12,51,0,69,57
6600,2,0,9,21,81,3,111,93
6700,2,0,12,12,99,3,126,114
6800,2,0,3,6,42,6,54,48
6900,2,0,6,12,84,3,102,93
7000,2,0,3,3,18,3,24,21
7101,2,0,0,0,0,0,3,0
7102,2,0,0,3,9,0,12,9
7201,2,0,0,6,21,3,30,24
7202,2,0,0,6,39,0,51,42
7300,2,0,3,6,63,6,81,72
7400,2,0,3,6,30,0,39,33
7500,2,0,6,0,21,3,33,30
7600,2,0,6,12,54,3,75,60
7700,2,0,3,6,33,0,42,36
7801,2,0,3,0,24,0,24,27
7802,2,0,0,0,0,0,0,0
7900,2,0,6,15,87,9,117,105
8000,2,0,0,0,6,0,6,6
8100,2,0,3,3,24,3,30,30
8200,2,0,3,3,48,6,60,54
8301,2,0,3,21,72,3,99,78
8302,2,0,0,0,0,0,0,0
8401,2,0,0,6,39,3,51,45
8403,2,0,0,0,0,0,6,0
8404,2,0,0,9,24,0,36,27
8501,2,0,3,3,21,3,30,24
8502,2,0,6,12,66,9,90,78
8600,2,0,0,9,54,3,66,60
8700,2,0,3,6,30,0,39,33
8800,2,0,6,6,27,6,39,33
8901,2,0,0,0,0,0,0,0
8902,2,0,3,21,39,0,63,42
9001,2,0,3,6,15,0,24,18
9002,2,0,0,0,0,0,3,0
9101,2,0,6,9,114,9,141,129
9102,2,0,3,6,30,3,39,36
9103,2,0,0,6,21,3,30,24
9200,2,0,3,0,36,0,39,39
9300,2,0,0,6,54,3,63,57
9400,2,0,6,6,69,9,93,87
9500,2,0,6,6,24,3,39,33
9600,2,0,3,3,9,0,15,12
9700,2,0,3,6,51,3,66,60
9800,2,0,0,0,0,0,0,0
9900,2,0,0,0,12,0,9,9
10005,2,0,0,6,30,0,39,33
10006,2,0,0,3,24,0,30,27
10007,2,0,3,6,21,3,33,27
10008,2,0,0,3,36,6,45,45
10009,2,0,0,6,15,3,21,18
10010,2,0,0,9,24,3,36,24
10011,2,0,6,15,42,6,66,54
10012,2,0,0,9,27,0,36,27
10013,2,0,0,0,0,0,0,0
10014,2,0,0,0,0,0,3,0
10101,2,0,6,39,66,3,117,78
10102,2,0,6,12,60,3,84,72
10200,2,0,0,0,0,0,3,0
10300,2,0,0,6,0,0,9,0
10400,2,0,0,6,42,3,51,48
10500,2,0,3,9,3,0,15,6
10600,2,0,0,30,18,3,54,24
