meshblock_id,census_year_id,do_not_own,not_elsewhere_included,own_or_partly_own,total_people,total_stated
100,1,6,3,0,6,6
200,1,27,6,24,57,51
300,1,33,3,21,54,51
400,1,15,3,3,21,18
501,1,0,0,0,0,0
502,1,12,3,6,21,18
600,1,18,3,12,33,30
700,1,18,3,21,45,42
800,1,54,12,39,102,90
900,1,9,0,15,21,21
1000,1,27,15,27,72,51
1100,1,24,18,30,69,54
1201,1,15,12,21,48,33
1202,1,0,0,0,0,0
1203,1,21,9,54,84,78
1204,1,60,9,69,141,132
1301,1,30,18,69,120,99
1302,1,42,27,102,171,147
1400,1,9,3,24,36,33
1500,1,3,6,9,15,9
1600,1,0,0,0,0,0
1700,1,3,0,3,6,6
1800,1,21,12,33,63,54
1900,1,15,3,24,42,42
2000,1,12,3,27,45,39
2100,1,0,0,0,0,0
2200,1,33,33,90,153,123
2301,1,0,0,0,3,0
2302,1,0,3,6,9,6
2303,1,24,12,48,81,69
2304,1,12,3,24,36,33
2305,1,6,0,9,18,18
2306,1,12,0,3,15,15
2400,1,42,21,45,111,90
2500,1,0,0,0,3,0
2603,1,9,6,27,42,39
2604,1,12,30,36,75,45
2605,1,6,6,36,48,42
2606,1,27,18,48,96,75
2607,1,15,9,33,57,48
2608,1,9,0,6,15,15
2609,1,12,6,33,51,42
2610,1,21,3,57,84,81
2611,1,21,6,33,63,54
2700,1,33,9,66,108,102
2800,1,9,15,21,45,30
2900,1,30,21,54,105,84
3000,1,9,6,15,27,24
3100,1,21,6,33,60,54
3200,1,24,6,75,102,99
3300,1,21,18,57,96,81
3400,1,6,0,18,24,27
3501,1,6,6,12,21,18
3502,1,9,3,18,27,27
3503,1,6,0,0,9,6
3504,1,0,0,12,15,15
3505,1,3,3,3,6,6
3506,1,9,3,9,24,21
3600,1,15,51,24,90,39
3701,1,6,15,18,42,27
3702,1,12,6,21,39,33
3800,1,45,36,66,147,111
3900,1,33,63,75,177,111
4000,1,36,24,57,117,93
4101,1,33,24,75,132,108
4102,1,39,42,75,156,111
4104,1,12,3,21,39,36
4105,1,12,3,18,36,30
4106,1,9,0,21,33,30
4107,1,6,6,9,24,18
4108,1,21,0,21,42,45
4201,1,24,3,15,39,36
4202,1,3,0,3,12,9
4203,1,3,0,0,9,6
4204,1,9,3,18,33,30
4205,1,12,3,9,21,18
4206,1,3,0,3,6,6
4207,1,3,0,9,9,9
4208,1,12,6,30,45,39
4209,1,0,0,0,3,0
4210,1,0,0,0,0,0
4301,1,21,9,51,84,75
4302,1,39,9,81,129,120
4400,1,21,9,45,81,69
4501,1,0,0,0,0,0
4502,1,0,0,0,3,0
4600,1,3,3,6,12,9
4700,1,0,0,6,6,6
4800,1,9,12,6,24,15
4900,1,48,12,102,159,150
5000,1,15,6,18,39,33
5100,1,51,15,69,135,120
5201,1,12,3,24,42,39
5202,1,3,3,9,15,15
5300,1,0,0,0,0,0
5400,1,0,0,0,0,0
5500,1,42,18,99,162,141
5600,1,60,42,93,195,156
5700,1,30,18,63,108,90
5800,1,0,0,0,3,0
5900,1,21,9,48,81,69
6000,1,18,15,9,42,30
6100,1,6,3,24,30,30
6200,1,9,3,21,30,24
6300,1,48,21,36,105,87
6400,1,6,9,15,27,21
6500,1,15,9,45,66,60
6600,1,33,9,66,108,102
6700,1,21,9,75,105,99
6800,1,18,3,39,57,57
6900,1,33,6,45,84,78
7000,1,6,3,18,30,24
7101,1,0,0,0,0,0
7102,1,6,0,6,9,9
7201,1,12,9,15,33,27
7202,1,27,12,12,48,39
7300,1,36,9,36,84,75
7400,1,3,6,21,30,24
7500,1,12,3,15,24,21
7600,1,27,6,51,87,81
7700,1,15,15,30,60,45
7801,1,9,0,9,18,15
7802,1,0,0,0,0,0
7900,1,30,30,48,111,78
8000,1,3,3,0,9,3
8100,1,0,0,0,3,0
8200,1,21,9,30,57,51
8301,1,45,6,66,117,108
8302,1,0,0,0,6,0
8401,1,21,6,27,51,48
8403,1,0,0,0,6,0
8404,1,15,12,18,45,33
8501,1,15,6,15,39,30
8502,1,33,6,33,75,69
8600,1,24,6,48,75,69
8700,1,12,6,24,45,36
8800,1,12,3,21,30,30
8901,1,0,0,0,0,0
8902,1,24,6,21,48,45
9001,1,9,6,9,24,18
9002,1,0,0,0,0,0
9101,1,36,21,69,126,105
9102,1,15,6,21,39,33
9103,1,3,0,18,21,18
9200,1,6,0,21,27,24
9300,1,21,6,27,51,48
9400,1,21,0,69,96,93
9500,1,6,6,3,12,9
9600,1,9,6,9,18,15
9700,1,18,6,27,51,45
9800,1,0,0,0,0,0
9900,1,6,3,6,9,9
10005,1,9,3,18,27,24
10006,1,12,9,15,39,30
10007,1,18,3,15,36,33
10008,1,12,12,18,42,30
10009,1,9,3,15,24,24
