meshblock_id,census_year_id,household,looking_after_child_not_own_household,looking_after_child_own_household,looking_after_not_own_household_member_who_is_ill_or_disable,looking_after_own_household_member_who_is_ill_or_disabled,none,not_elsewhere_included,total,total_stated,voluntary
100,3,0,0,0,0,0,0,0,0,0,0
200,3,48,6,27,9,9,3,9,3,54,24
300,3,33,3,12,0,6,6,6,9,39,15
400,3,12,0,6,0,0,6,6,6,15,3
501,3,0,0,0,0,0,0,0,0,0,0
502,3,18,3,6,3,0,3,3,3,21,6
600,3,27,3,3,0,6,6,3,6,30,6
700,3,24,6,15,6,6,3,15,9,30,15
800,3,57,15,21,12,6,9,15,36,69,33
900,3,15,6,6,3,0,0,6,6,15,9
1000,3,42,9,18,3,6,3,18,12,48,12
1100,3,48,15,15,12,12,12,12,21,63,21
1201,3,63,9,24,12,6,0,12,18,66,24
1202,3,0,0,0,0,0,0,0,3,0,0
1203,3,60,0,9,6,6,12,21,24,72,12
1204,3,105,24,45,15,15,15,6,36,126,27
1301,3,72,12,21,6,15,12,21,39,87,18
1302,3,129,27,42,15,12,18,57,66,153,27
1400,3,21,6,6,3,3,6,21,15,30,6
1500,3,18,3,6,0,0,0,3,6,21,3
1600,3,0,0,0,0,0,0,0,0,0,0
1700,3,0,0,0,0,0,0,0,0,0,0
1800,3,45,9,12,0,6,9,9,27,54,6
1900,3,21,0,15,3,3,6,12,12,30,6
2000,3,30,3,9,0,3,6,6,18,36,3
2100,3,0,0,0,0,0,0,0,0,0,0
2200,3,123,18,36,24,18,12,42,66,144,21
2301,3,36,3,15,6,6,3,9,12,39,12
2302,3,0,0,0,0,0,0,0,3,0,0
2303,3,48,3,24,6,6,0,0,36,48,15
2304,3,42,9,21,0,3,6,6,15,48,12
2305,3,15,6,6,3,3,0,3,0,18,3
2306,3,9,0,0,0,0,0,0,0,6,0
2400,3,48,9,15,12,9,0,12,6,51,15
2500,3,0,0,0,0,0,0,0,0,0,0
2603,3,30,0,6,3,0,0,0,9,33,0
2604,3,57,18,27,15,18,9,15,33,75,18
2605,3,42,6,6,3,6,6,15,12,48,9
2606,3,72,18,33,12,18,9,9,27,87,27
2607,3,36,6,12,3,6,6,6,12,48,12
2608,3,24,6,12,0,3,6,3,12,30,6
2609,3,51,9,21,6,9,3,6,12,57,6
2610,3,111,15,21,6,9,24,9,27,138,21
2611,3,51,6,15,3,0,3,3,6,54,15
2700,3,111,21,27,18,9,12,15,36,126,12
2800,3,18,6,9,0,3,3,9,6,24,3
2900,3,69,9,30,9,6,18,12,30,90,15
3000,3,36,3,15,3,6,9,9,18,48,3
3100,3,33,6,12,0,3,0,6,3,36,9
3200,3,102,15,36,9,15,6,12,15,114,21
3300,3,114,21,45,21,15,9,24,51,126,27
3400,3,36,6,15,3,6,6,0,0,42,9
3501,3,12,0,0,0,0,0,0,6,9,0
3502,3,21,0,9,0,3,6,3,0,30,3
3503,3,9,0,0,0,0,0,0,9,9,0
3504,3,18,3,3,0,0,0,3,3,24,6
3505,3,0,0,0,0,0,0,0,78,0,0
3506,3,21,6,6,3,0,0,3,12,21,9
3600,3,27,9,6,6,3,3,12,9,30,6
3701,3,27,6,9,3,6,3,0,6,33,12
3702,3,39,9,9,9,6,3,3,9,42,12
3800,3,129,24,45,15,18,15,24,30,147,21
3900,3,72,12,33,12,9,9,24,27,84,15
4000,3,111,24,42,24,21,6,24,33,120,30
4101,3,99,21,27,15,12,15,21,15,114,30
4102,3,102,21,24,18,9,12,9,18,117,21
4104,3,36,3,9,6,6,3,9,6,39,0
4105,3,30,3,9,0,3,0,3,6,33,3
4106,3,30,6,6,3,3,0,6,0,30,9
4107,3,27,3,0,6,3,3,3,3,30,6
4108,3,33,3,15,3,3,3,6,6,39,9
4201,3,18,0,3,0,3,3,3,9,15,3
4202,3,12,0,0,0,0,0,0,3,15,0
4203,3,18,3,6,3,6,0,6,3,21,6
4204,3,18,3,12,0,3,6,6,6,24,0
4205,3,0,0,0,0,0,0,0,6,9,0
4206,3,18,3,6,3,3,9,6,0,30,3
4207,3,33,3,6,3,3,0,6,6,36,15
4208,3,39,12,18,9,9,6,3,6,48,6
4209,3,6,0,0,0,0,0,0,0,6,0
4210,3,12,3,6,3,0,3,0,9,18,6
4301,3,63,12,15,6,6,9,6,6,72,18
4302,3,105,15,21,18,15,3,9,36,111,36
4400,3,78,24,33,9,9,12,6,30,93,15
4501,3,9,0,0,0,0,0,0,0,9,0
4502,3,0,0,0,0,0,0,0,0,0,0
4600,3,18,3,3,0,3,3,0,3,18,3
4700,3,0,0,0,0,0,0,0,0,6,0
4800,3,30,3,15,6,3,0,3,3,33,6
4900,3,120,9,27,18,6,12,21,87,138,24
5000,3,36,9,21,6,9,3,15,9,39,12
5100,3,108,12,21,18,9,15,18,72,123,15
5201,3,48,6,15,9,0,0,3,42,51,18
5202,3,6,0,0,0,0,0,0,3,6,0
5300,3,0,0,0,0,0,0,0,9,0,0
5400,3,0,0,0,0,0,0,0,0,0,0
5500,3,102,15,18,18,12,15,42,12,120,21
5600,3,171,33,48,21,24,27,36,57,201,30
5700,3,111,12,42,18,15,6,18,27,120,24
5800,3,6,0,0,0,0,0,0,0,9,0
5900,3,54,12,12,9,12,6,9,12,60,15
6000,3,30,3,12,0,6,0,6,6,30,6
6100,3,24,6,9,3,3,3,0,3,27,6
6200,3,18,3,9,3,0,3,6,6,21,3
6300,3,72,15,27,9,12,12,21,45,87,18
6400,3,15,0,3,0,3,3,9,0,18,3
6500,3,69,6,24,12,6,6,12,9,81,18
6600,3,84,6,33,9,12,12,21,21,99,21
6700,3,99,18,39,15,6,12,12,18,114,15
6800,3,45,9,12,9,6,3,9,15,48,9
6900,3,81,12,30,9,9,9,15,27,93,18
7000,3,24,0,6,3,6,3,3,6,27,0
7101,3,0,0,0,0,0,0,0,6,0,0
7102,3,9,0,0,0,0,0,0,15,12,0
7201,3,21,0,6,3,6,0,12,3,27,3
7202,3,33,6,12,3,0,9,6,42,39,3
7300,3,63,18,30,6,3,9,9,9,75,15
7400,3,24,6,6,0,3,0,9,6,27,6
7500,3,24,3,9,0,3,6,6,3,30,3
7600,3,81,18,36,12,15,9,18,15,90,21
7700,3,33,0,12,3,3,0,3,6,36,6
7801,3,12,3,9,3,3,3,3,3,15,3
7802,3,0,0,0,0,0,0,0,0,0,0
7900,3,78,18,33,15,15,21,30,27,108,30
8000,3,6,0,0,0,0,0,0,33,6,0
8100,3,27,3,15,3,3,3,0,3,27,6
8200,3,30,9,15,3,3,6,15,33,36,6
8301,3,84,21,42,6,12,6,18,24,87,15
8302,3,0,0,0,0,0,0,0,6,0,0
8401,3,45,6,15,3,3,0,9,9,45,6
8403,3,0,0,0,0,0,0,0,450,0,0
8404,3,36,6,12,6,3,6,9,3,42,6
8501,3,27,9,9,3,3,3,9,3,30,6
8502,3,48,12,27,9,9,3,36,0,54,12
8600,3,45,9,24,3,6,12,6,3,57,12
8700,3,27,9,12,3,6,3,9,21,33,6
8800,3,24,9,9,3,6,3,6,9,27,6
8901,3,0,0,0,0,0,0,0,0,0,0
8902,3,42,12,9,9,6,6,6,12,45,15
9001,3,12,6,9,3,3,3,6,18,18,3
9002,3,0,0,0,0,0,0,0,6,0,0
9101,3,138,36,57,18,15,15,24,39,159,39
9102,3,33,12,15,9,9,3,12,18,36,9
9103,3,12,6,3,3,0,3,6,3,15,3
9200,3,48,12,15,9,6,3,6,12,54,15
9300,3,36,6,15,6,6,6,6,15,42,9
9400,3,96,18,45,15,6,6,12,15,105,21
9500,3,18,3,9,6,3,3,15,3,24,12
9600,3,15,0,3,3,3,3,3,0,15,3
9700,3,60,12,18,6,6,6,6,30,69,12
9800,3,0,0,0,0,0,0,0,0,0,0
9900,3,12,0,6,0,0,0,0,3,12,0
10005,3,24,9,9,3,3,3,15,3,30,6
10006,3,21,6,12,3,3,0,3,6,21,9
10007,3,15,3,3,3,0,3,3,6,18,6
10008,3,30,6,15,6,3,3,6,3,36,12
10009,3,21,3,3,3,3,0,6,3,24,9
10010,3,24,3,12,9,0,0,9,9,24,9
10011,3,0,0,0,0,0,0,0,0,0,0
10012,3,21,3,6,3,3,6,9,0,24,3
10013,3,9,0,6,0,0,0,0,0,6,0
10014,3,9,0,0,0,0,0,0,3,9,0
10101,3,90,24,45,12,15,9,48,9,108,27
10102,3,51,18,21,6,6,9,21,15,63,15
10200,3,0,0,0,0,0,0,0,9,0,0
10300,3,0,0,0,0,0,0,0,0,0,0
10400,3,57,15,27,6,9,3,3,18,60,15
10500,3,12,0,3,3,0,3,0,3,18,3
10600,3,39,15,12,9,6,9,12,6,48,12
10700,3,201,42,57,36,27,18,39,33,222,69
10800,3,9,6,6,0,0,0,0,42,9,0
10900,3,48,12,21,6,9,6,24,9,57,15
11000,3,27,9,12,12,6,3,6,6,33,18
11100,3,39,15,18,9,6,9,6,6,45,12
11200,3,0,0,0,0,0,0,0,0,0,0
11300,3,24,12,12,6,6,3,6,3,27,9
11400,3,24,0,9,3,3,0,3,3,24,6
11500,3,0,0,0,0,0,0,0,0,0,0
11600,3,9,0,0,0,0,0,0,0,9,0
11700,3,33,3,15,3,9,3,3,9,33,12
11800,3,12,3,6,0,3,0,6,9,15,6
11900,3,30,9,18,6,6,3,3,6,33,9
