meshblock_id,census_id,full_time,not_in_the_labour_force,part_time,status_unidentifiable,total,total_stated,unemployed
100,1,0,0,0,0,6,6,0
200,1,18,27,6,0,57,57,6
300,1,6,42,6,0,57,54,3
400,1,12,6,3,0,21,21,3
501,1,0,0,0,0,0,0,0
502,1,12,3,3,0,21,21,3
600,1,9,18,3,0,33,33,3
700,1,18,21,6,0,45,45,0
800,1,33,36,18,9,105,96,6
900,1,6,9,6,0,21,21,3
1000,1,24,12,12,15,69,57,6
1100,1,24,21,9,12,72,60,9
1201,1,18,15,9,6,45,42,0
1202,1,0,0,0,0,0,0,0
1203,1,27,42,6,6,87,81,3
1204,1,66,42,18,3,141,135,6
1301,1,45,42,15,12,120,108,9
1302,1,60,57,27,21,174,153,9
1400,1,18,12,3,0,36,36,3
1500,1,9,0,0,3,15,9,0
1600,1,0,0,0,0,0,0,0
1700,1,0,0,0,0,9,6,0
1800,1,30,21,3,9,66,57,3
1900,1,18,21,3,0,45,42,0
2000,1,18,18,3,0,45,45,6
2100,1,0,0,0,0,0,0,0
2200,1,51,48,24,27,156,129,3
2301,1,0,0,0,0,3,0,0
2302,1,0,0,0,0,9,6,0
2303,1,39,24,9,9,81,72,3
2304,1,15,12,9,0,36,36,3
2305,1,9,6,0,0,18,18,6
2306,1,6,6,3,0,15,15,0
2400,1,21,60,6,9,114,102,15
2500,1,0,0,0,0,3,0,0
2603,1,6,27,6,0,42,42,0
2604,1,18,36,6,9,75,63,3
2605,1,12,24,6,3,48,45,3
2606,1,24,42,6,15,93,78,3
2607,1,15,27,9,3,57,54,3
2608,1,6,3,3,0,15,15,0
2609,1,9,18,6,6,51,42,12
2610,1,24,39,12,0,81,81,6
2611,1,18,30,6,6,63,57,9
2700,1,42,45,15,3,108,108,6
2800,1,6,12,6,12,42,30,3
2900,1,39,33,9,15,105,90,6
3000,1,15,6,3,3,27,27,3
3100,1,18,27,6,0,60,60,6
3200,1,42,39,18,3,102,99,3
3300,1,24,39,15,12,96,84,9
3400,1,12,6,6,0,24,24,3
3501,1,3,9,3,0,21,18,0
3502,1,3,21,0,0,27,27,0
3503,1,0,0,0,0,9,6,0
3504,1,9,6,0,0,15,15,0
3505,1,0,0,0,0,9,9,0
3506,1,12,9,0,0,24,24,3
3600,1,9,18,6,48,90,42,9
3701,1,15,9,6,9,42,30,3
3702,1,6,15,9,6,39,33,6
3800,1,39,36,33,30,144,120,12
3900,1,33,54,18,54,174,120,15
4000,1,30,42,12,21,117,96,9
4101,1,36,63,15,15,132,117,9
4102,1,30,75,12,27,156,129,9
4104,1,9,21,3,3,36,36,0
4105,1,6,18,3,3,36,33,3
4106,1,9,15,6,0,33,30,0
4107,1,6,9,3,3,24,21,0
4108,1,12,24,3,0,45,42,3
4201,1,3,30,0,0,42,36,3
4202,1,0,0,0,0,9,9,0
4203,1,0,0,0,0,6,6,0
4204,1,9,15,6,0,30,33,0
4205,1,6,12,0,0,21,21,3
4206,1,0,0,0,0,9,6,0
4207,1,0,12,0,0,9,12,0
4208,1,9,27,3,6,45,39,0
4209,1,0,0,0,0,6,0,0
4210,1,0,0,0,0,3,0,0
4301,1,27,39,9,3,84,78,6
4302,1,54,51,15,6,129,126,3
4400,1,30,24,9,6,78,72,6
4501,1,0,0,0,0,3,0,0
4502,1,0,0,0,0,3,0,0
4600,1,0,6,3,3,12,9,0
4700,1,0,0,0,0,6,6,0
4800,1,6,9,3,3,24,21,3
4900,1,45,72,30,6,159,156,6
5000,1,12,15,9,3,36,36,0
5100,1,48,51,21,6,135,129,12
5201,1,12,18,6,3,39,36,0
5202,1,9,3,3,3,15,15,0
5300,1,0,0,0,0,0,0,0
5400,1,0,0,0,0,0,0,0
5500,1,33,96,12,9,162,153,9
5600,1,63,57,33,33,195,162,9
5700,1,21,45,18,9,108,99,15
5800,1,0,0,0,0,3,0,0
5900,1,33,27,12,6,78,75,6
6000,1,6,18,3,6,42,36,9
6100,1,12,9,6,3,33,30,3
6200,1,12,9,3,0,27,27,0
6300,1,36,36,6,15,105,90,12
6400,1,9,3,3,6,30,21,0
6500,1,36,18,6,3,66,63,6
6600,1,48,30,21,6,108,105,9
6700,1,36,39,18,3,105,105,6
6800,1,33,12,12,0,57,57,3
6900,1,36,27,15,3,84,84,6
7000,1,12,9,3,3,30,27,3
7101,1,0,0,0,0,0,0,0
7102,1,0,0,0,0,9,9,0
7201,1,9,15,3,3,33,30,3
7202,1,12,21,3,9,48,39,3
7300,1,39,21,15,3,87,81,3
7400,1,12,12,3,6,30,27,0
7500,1,12,6,6,0,24,24,3
7600,1,39,24,18,3,87,84,0
7700,1,21,21,6,15,60,45,3
7801,1,9,6,0,0,15,18,0
7802,1,0,0,0,0,0,0,0
7900,1,33,24,18,24,111,84,9
8000,1,0,0,0,0,6,0,0
8100,1,0,0,0,0,3,0,0
8200,1,33,15,9,0,57,57,3
8301,1,48,36,27,3,114,111,3
8302,1,0,0,0,0,3,0,0
8401,1,30,15,6,0,51,51,3
8403,1,0,0,0,0,6,0,0
8404,1,15,9,3,9,45,33,3
8501,1,21,9,3,6,39,30,0
8502,1,30,21,18,3,75,69,6
8600,1,36,18,15,3,75,75,3
8700,1,12,18,6,3,45,39,0
8800,1,15,12,3,0,30,30,3
8901,1,0,0,0,0,0,0,0
8902,1,15,21,6,6,51,45,3
9001,1,9,6,3,3,24,18,0
9002,1,0,0,0,0,0,0,0
9101,1,60,27,18,18,126,111,3
9102,1,15,9,9,0,39,39,3
9103,1,9,9,3,0,18,21,0
9200,1,12,6,6,0,30,27,0
9300,1,18,21,9,3,54,51,3
9400,1,54,15,21,0,96,93,3
9500,1,0,6,0,3,12,9,0
9600,1,3,9,3,3,18,18,0
9700,1,24,12,9,6,51,48,0
9800,1,0,0,0,0,0,0,0
9900,1,0,0,0,0,9,9,0
10005,1,12,6,3,3,30,24,3
10006,1,15,12,3,6,36,30,0
10007,1,9,21,3,0,36,36,0
10008,1,12,12,6,9,42,30,3
10009,1,12,9,0,3,27,24,3
10010,1,9,12,3,6,33,24,0
10011,1,9,21,9,0,45,45,6
10012,1,12,12,0,0,30,30,3
10013,1,0,0,0,0,0,0,0
10014,1,0,0,0,0,3,0,0
10101,1,36,33,12,0,87,87,9
10102,1,27,30,12,3,81,81,9
10200,1,0,0,0,0,6,6,0
10300,1,0,0,0,0,9,9,0
10400,1,12,3,3,0,21,21,3
10500,1,3,21,3,3,36,30,6
10600,1,27,24,6,3,57,57,3
10700,1,105,54,42,12,225,216,15
10800,1,0,0,0,0,6,6,0
10900,1,24,27,9,9,75,66,6
11000,1,18,24,3,6,54,48,0
11100,1,9,15,3,6,33,24,3
11200,1,0,0,0,0,6,0,0
11300,1,24,39,9,18,102,81,9
11400,1,9,12,0,3,27,21,3
11500,1,0,0,0,0,6,0,0
11600,1,0,9,0,0,12,9,0
11700,1,12,6,0,3,27,24,6
11800,1,12,6,3,6,30,21,3
11900,1,6,15,12,6,45,39,3
12000,1,6,6,3,6,21,15,3
12101,1,0,0,0,0,0,0,0
12102,1,0,9,0,3,12,9,0
12103,1,9,18,3,6,45,39,6
12200,1,9,9,6,9,36,27,3
12300,1,21,6,3,18,54,33,0
12400,1,21,27,12,12,78,66,6
12500,1,12,9,3,3,33,30,0
12601,1,12,12,6,3,30,30,3
12602,1,9,3,0,3,18,12,0
12701,1,21,9,6,9,48,39,3
12702,1,12,18,6,15,60,42,6
12800,1,0,0,0,0,0,0,0
12902,1,12,12,12,0,42,39,3
12903,1,48,30,15,3,102,102,9
12904,1,48,48,21,21,147,126,6
13000,1,36,54,15,15,138,126,21
13100,1,48,75,21,18,171,156,9
13203,1,45,48,27,15,159,141,21
13204,1,18,18,6,0,39,39,0
13205,1,24,33,12,3,81,75,9
13206,1,18,45,9,18,96,78,6
13207,1,15,24,9,9,66,57,9
13300,1,84,69,24,18,210,192,15
13400,1,39,45,18,6,114,108,6
13500,1,3,6,0,0,12,12,0
13600,1,15,18,3,3,45,39,3
13700,1,15,36,9,6,75,69,6
13800,1,0,0,0,0,0,0,0
13900,1,27,36,6,12,84,72,6
14000,1,0,0,0,0,3,0,0
14100,1,3,15,0,0,24,24,3
14200,1,0,0,0,0,9,6,0
14300,1,33,21,12,3,75,72,6
14400,1,63,75,21,12,174,162,3
14500,1,6,6,0,0,12,12,0
14600,1,0,0,0,0,0,0,0
14700,1,15,15,6,6,45,42,3
14800,1,6,3,3,6,18,9,0
14900,1,33,63,18,0,117,117,3
15000,1,27,9,6,6,54,48,3
15100,1,18,63,6,0,90,90,6
15200,1,9,24,6,12,57,45,3
15300,1,66,60,12,18,162,144,6
15401,1,6,3,3,0,12,12,0
15402,1,51,120,27,0,210,210,9
15500,1,60,72,36,15,210,195,24
15600,1,33,54,9,0,117,114,18
15700,1,15,66,0,0,87,87,6
15800,1,15,36,15,0,75,72,6
15900,1,12,21,6,0,48,45,3
16000,1,15,21,6,3,48,48,0
16100,1,0,0,0,0,3,0,0
16200,1,21,24,6,9,63,54,3
16300,1,42,33,9,9,96,90,3
16400,1,0,0,0,0,9,12,0
16500,1,0,0,0,0,6,6,0
16600,1,9,24,6,18,69,51,6
16700,1,9,21,3,9,48,39,6
16800,1,6,12,6,3,33,33,3
16901,1,0,0,0,0,0,0,0
16902,1,0,0,0,0,3,0,0
17001,1,0,0,0,0,0,0,0
17003,1,0,0,0,0,0,0,0
17005,1,0,0,0,0,0,0,0
17006,1,0,0,0,0,3,0,0
