id,name
001,Far North District
999,Area Outside Territorial Authority
047,Wellington City
019,South Waikato District
016,Hamilton City
054,Kaikoura District
013,Waikato District
072,Clutha District
023,Tauranga City
033,New Plymouth District
071,Dunedin City
073,Southland District
012,Hauraki District
042,Horowhenua District
002,Whangarei District
060,Christchurch City
011,Thames-Coromandel District
021,Taupo District
066,Waimate District
037,Wanganui District
032,"Central Hawke's Bay District"
041,Tararua District
025,Whakatane District
057,Westland District
063,Ashburton District
040,Palmerston North City
035,South Taranaki District
034,Stratford District
018,Otorohanga District
029,Wairoa District
051,Tasman District
044,Porirua City
074,Gore District
056,Grey District
043,Kapiti Coast District
017,Waipa District
024,Rotorua District
026,Kawerau District
062,Selwyn District
039,Manawatu District
027,Opotiki District
049,Carterton District
046,Lower Hutt City
064,Timaru District
070,Queenstown-Lakes District
003,Kaipara District
036,Ruapehu District
020,Waitomo District
030,Hastings District
069,Central Otago District
045,Upper Hutt City
038,Rangitikei District
075,Invercargill City
050,South Wairarapa District
058,Hurunui District
053,Marlborough District
022,Western Bay of Plenty District
015,Matamata-Piako District
048,Masterton District
055,Buller District
067,Chatham Islands Territory
028,Gisborne District
031,Napier City
059,Waimakariri District
052,Nelson City
076,Auckland
065,Mackenzie District
068,Waitaki District
