id,name
07621,Franklin Local Board Area
07106,Otago Peninsula Community
07399,Area Outside Community
05002,Featherston Community
01899,Area Outside Community
06299,Area Outside Community
06799,Area Outside Community
02203,Te Puke Community
01999,Area Outside Community
06403,Temuka Community
05001,Greytown Community
07599,Area Outside Community
07603,Upper Harbour Local Board Area
06401,Geraldine Community
06201,Malvern Area Community
02201,Katikati Community
07608,Great Barrier Local Board Area
03999,Area Outside Community
07620,Papakura Local Board Area
07303,Riverton/Aparima Community
01303,Ngaruawahia Community
03801,Ratana Community
07308,Tuatapere Community
05599,Area Outside Community
04302,Waikanae Community
06899,Area Outside Community
01304,Raglan Community
02504,Ohope Beach Community
06901,Cromwell Community
02505,Whakatane Community
01801,Kawhia Community
05903,Rangiora Community
07612,Albert-Eden Local Board Area
03503,Hawera-Tangahoe Community
03199,Area Outside Community
05902,Woodend-Ashley Community
02202,Omokoroa Community
07302,Winton Community
05101,Golden Bay Community
07101,Strath Taieri Community
02503,Murupara Community
04299,Area Outside Community
01599,Area Outside Community
07611,Whau Local Board Area
07607,Waitakere Ranges Local Board Area
07306,Stewart Island/Rakiura Community
06503,Tekapo Community
07307,Te Anau Community
02502,Taneatua Community
01799,Area Outside Community
01302,Huntly Community
06004,Riccarton-Wigram Community
06202,Selwyn Central Community
03501,Egmont Plains Community
04601,Petone Community
07613,Puketapapa Local Board Area
00399,Area Outside Community
07610,Waitemata Local Board Area
05102,Motueka Community
07615,Maungakiekie-Tamaki Local Board Area
03502,Eltham Community
03303,Clifton Community
06002,Fendalton-Waimairi Community
01301,Taupiri Community
02699,Area Outside Community
02204,Maketu Community
03304,Inglewood Community
06802,Waihemo Community
01702,Te Awamutu Community
01701,Cambridge Community
01901,Tirau Community
99999,Area Outside Community
05501,Inangahua Community
03301,Kaitake Community
05299,Area Outside Community
05799,Area Outside Community
07401,Mataura Community
06903,Vincent Community
01305,Onewhero-Tuakau Community
02399,Area Outside Community
07605,Devonport-Takapuna Local Board Area
04101,Dannevirke Community
06699,Area Outside Community
06904,Teviot Valley Community
02899,Area Outside Community
00102,Bay of Islands-Whangaroa Community
06006,Spreydon-Heathcote Community
02499,Area Outside Community
07618,Otara-Papatoetoe Local Board Area
03302,Waitara Community
07104,Saddle Hill Community
05699,Area Outside Community
07202,Lawrence-Tuapeka Community
06499,Area Outside Community
02501,Rangitaiki Community
02101,Turangi-Tongariro Community
02799,Area Outside Community
01102,Mercury Bay Community
04102,Eketahuna Community
07102,Waikouaiti Coast Community
07609,Waiheke Local Board Area
01802,Otorohanga Community
06003,Burwood-Pegasus Community
04201,Foxton Community
00299,Area Outside Community
04199,Area Outside Community
04499,Area Outside Community
05801,Hanmer Springs Community
07601,Rodney Local Board Area
03799,Area Outside Community
06005,Hagley-Ferrymead Community
06001,Shirley-Papanui Community
04799,Area Outside Community
04899,Area Outside Community
07099,Area Outside Community
07001,Wanaka Community
02401,Rotorua Lakes Community
04702,Tawa Community
03299,Area Outside Community
05899,Area Outside Community
02701,Coast Community
03899,Area Outside Community
06501,Twizel Community
03504,Patea Community
07617,Mangere-Otahuhu Local Board Area
07105,Chalmers Community
03602,Waimarino-Waiouru Community
03001,Hastings District Rural Community
05499,Area Outside Community
02205,Waihi Beach Community
01103,Thames Community
06599,Area Outside Community
05901,Kaiapoi Community
07499,Area Outside Community
07616,Howick Local Board Area
04602,Eastbourne Community
01101,Coromandel-Colville Community
06007,Lyttelton-Mount Herbert Community
06502,Fairlie Community
00103,Kaikohe-Hokianga Community
07199,Area Outside Community
04999,Area Outside Community
04301,Otaki Community
05999,Area Outside Community
04304,Paekakariki Community
07305,Edendale-Wyndham Community
03601,National Park Community
04099,Area Outside Community
07606,Henderson-Massey Local Board Area
07602,Hibiscus and Bays Local Board Area
05399,Area Outside Community
02299,Area Outside Community
05199,Area Outside Community
07304,Wallacetown Community
03701,Wanganui Rural Community
06399,Area Outside Community
01399,Area Outside Community
04603,Wainuiomata Community
01104,Tairua-Pauanui Community
02199,Area Outside Community
04701,Makara-Ohariu Community
02099,Area Outside Community
01105,Whangamata Community
03499,Area Outside Community
07201,West Otago Community
06402,Pleasant Point Community
01299,Area Outside Community
05003,Martinborough Community
07103,Mosgiel-Taieri Community
07299,Area Outside Community
07301,Otautau Community
03399,Area Outside Community
03802,Taihape Community
04699,Area Outside Community
04303,Paraparaumu-Raumati Community
06902,Maniototo Community
00101,Te Hiku Community
07604,Kaipatiki Local Board Area
03699,Area Outside Community
04599,Area Outside Community
07501,Bluff Community
06008,Akaroa-Wairewa Community
02999,Area Outside Community
07619,Manurewa Local Board Area
01699,Area Outside Community
06801,Ahuriri Community
03099,Area Outside Community
06301,Methven Community
07614,Orakei Local Board Area
