id,name
07299,Area Outside Subdivision
07617,Pukekohe Subdivision
02503,Te Urewera Subdivision
01299,Area Outside Subdivision
03499,Area Outside Subdivision
02199,Area Outside Subdivision
02099,Area Outside Subdivision
05199,Area Outside Subdivision
06399,Area Outside Subdivision
01399,Area Outside Subdivision
01699,Area Outside Subdivision
03099,Area Outside Subdivision
07301,Edendale Subdivision
07616,Waiuku Subdivision
00101,North Cape Subdivision
02999,Area Outside Subdivision
03703,Kaitoke Subdivision
04599,Area Outside Subdivision
00108,Whangaroa Subdivision
03699,Area Outside Subdivision
01801,Aotea Subdivision
07605,Hibiscus Coast Subdivision
03399,Area Outside Subdivision
00106,South Hokianga Subdivision
01704,Kakepuku Subdivision
07603,Kumeu Subdivision
04699,Area Outside Subdivision
07607,Owairaka Subdivision
06599,Area Outside Subdivision
07604,Dairy Flat Subdivision
07499,Area Outside Subdivision
06202,Hawkins Subdivision
06201,Tawera Subdivision
00111,Russell-Opua Subdivision
05499,Area Outside Subdivision
07099,Area Outside Subdivision
04899,Area Outside Subdivision
07618,Wairoa Subdivision
03899,Area Outside Subdivision
03299,Area Outside Subdivision
05899,Area Outside Subdivision
01802,Kawhia Subdivision
03799,Area Outside Subdivision
04799,Area Outside Subdivision
05099,Area Outside Subdivision
01703,Te Awamutu Subdivision
01199,Area Outside Subdivision
04099,Area Outside Subdivision
05399,Area Outside Subdivision
06001,Wairewa Subdivision
02299,Area Outside Subdivision
05999,Area Outside Subdivision
00103,Doubtless Bay Subdivision
07199,Area Outside Subdivision
04999,Area Outside Subdivision
07699,Area Outside Subdivision
06999,Area Outside Subdivision
00104,Kaitaia Subdivision
03002,Kaweka Subdivision
03001,Tutira Subdivision
02501,Galatea-Waiohau Subdivision
06699,Area Outside Subdivision
02899,Area Outside Subdivision
07611,Pakuranga Subdivision
00110,Paihia Subdivision
04399,Area Outside Subdivision
05799,Area Outside Subdivision
07612,Howick Subdivision
03599,Area Outside Subdivision
05299,Area Outside Subdivision
02399,Area Outside Subdivision
07615,Otara Subdivision
07608,Maungawhau Subdivision
07601,Wellsford Subdivision
02699,Area Outside Subdivision
99999,Area Outside Subdivision
00107,Kaikohe Subdivision
00399,Area Outside Subdivision
00109,Kerikeri Subdivision
00299,Area Outside Subdivision
00102,Whatuwhiwhi Subdivision
04199,Area Outside Subdivision
03701,Whanganui Subdivision
04499,Area Outside Subdivision
00112,Kawakawa-Moerewa Subdivision
00105,North Hokianga Subdivision
07610,Tamaki Subdivision
06499,Area Outside Subdivision
02799,Area Outside Subdivision
05699,Area Outside Subdivision
02499,Area Outside Subdivision
07302,Wyndham Subdivision
06899,Area Outside Subdivision
05599,Area Outside Subdivision
07613,Botany Subdivision
03702,Kai-Iwi Subdivision
02502,Murupara Subdivision
07602,Warkworth Subdivision
03999,Area Outside Subdivision
07606,East Coast Bays Subdivision
06799,Area Outside Subdivision
02599,Area Outside Subdivision
01999,Area Outside Subdivision
07609,Maungakiekie Subdivision
01899,Area Outside Subdivision
06299,Area Outside Subdivision
07599,Area Outside Subdivision
07399,Area Outside Subdivision
03004,Poukawa Subdivision
01702,Maungatautari Subdivision
01799,Area Outside Subdivision
06099,Area Outside Subdivision
04299,Area Outside Subdivision
01599,Area Outside Subdivision
06002,Akaroa Subdivision
07614,Papatoetoe Subdivision
03003,Maraekakaho Subdivision
01701,Cambridge Subdivision
03199,Area Outside Subdivision
